,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken
22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['appreciate', 'religious', 'education', 'gun', 'hijab']"
23,22,Race,Malay,Fuck malays man,1,['man']
24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'lady', 'tend', 'wear', 'hiram']"
25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policy', 'mean', 'correct', 'economic', 'balance']"
26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'different', 'chinese', 'people', 'grow', 'country']"
27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'student', 'really', 'cut']"
28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hiram', 'make', 'woman', 'beautiful', 'less']"
29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['people', 'act', 'holy', 'still', 'commit', 'crime']"
30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religion', 'teach', 'devotee', 'live', 'peace', 'other']"
31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['indian', 'people', 'treat', 'unfair']"
32,37,Gender,Male,Men need to work to get money,0,"['man', 'need', 'work', 'get', 'money']"
33,38,Gender,Male,Most houses are built by men,0,"['house', 'build', 'man']"
34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']"
35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'give', 'chance', 'gun']"
36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'tula', 'tumour']"
37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigner', 'know', 'tumour', 'city', 'bedbug']"
38,45,Race,Foreigner,!,0,[]
39,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']"
40,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'white', 'inside', 'type', 'westerner']"
41,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['live', 'go', 'walk', 'street', 'give', 'dirty', 'look', 'well']"
42,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indian', 'self', 'awareness', 'arrogant', 'little', 'rat']"
43,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']"
44,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'see', 'eat', 'pork']"
45,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['back', 'country']"
46,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['spread', 'idiocy']"
47,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'come']"
48,56,Race,Indian,They should go back to India.,1,"['go', 'back']"
49,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...��he doesn't know what is pork ...,1,"['beef', 'world', 'know', 'pork']"
50,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']"
51,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'owner', 'allegedly', 'decease', 'unknown']"
52,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['expecttourist', 'sing', 'praise', 'sour', 'grape', 'ruin', 'nice', 'thing']"
53,64,Race,Malay,He is a Malaysian not Malay,0,[]
54,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['discuss', 'criticise', 'aspect', 'religion', 'buddhist']"
55,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['always', 'try', 'portray', 'reincarnation', 'always', 'good', 'gun', 'imaginary', 'world']"
56,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'love', 'suck', 'cock', 'white', 'man', 'say', 'right', 'mentality']"
57,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']"
58,67,Race,Foreigner,No.,0,[]
59,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lense']"
60,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['big', 'accident', 'pretty', 'low', 'camping', 'area', 'kiss', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']"
61,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']"
62,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else']
63,72,Race,Chinese,Chinese are still superstitious,0,"['still', 'superstitious']"
64,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['welcome', 'ever', 'good', 'moral', 'brilliant', 'qualified', 'citizen']"
65,75,Religion,Islam,Islam is not good for Malaysia.,1,"['slam', 'good', 'malaysia']"
66,75,Religion,Islam,They are in a coconut shell or a cave.,1,[]
67,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']"
68,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']"
69,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['give', 'opinion', 'suggestion']"
70,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['think', 'want', 'meddle', 'religion', 'give', 'opinion', 'matter']"
71,78,Religion,Unknown,?,0,[]
72,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shake', 'slim', 'hand', 'tabor']"
73,82,Gender,Female,Hai Yah!,1,['ai']
74,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scold', 'nonstop']"
75,82,Gender,Female,Acting like a woman?,1,"['act', 'woman']"
76,82,Gender,Female,?,1,[]
77,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'give', 'hinduism', 'terrible', 'reputation']"
78,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['invite', 'hatred', 'buddhist', 'happen']"
79,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslim', 'work', 'non', 'slim', 'arm']"
80,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['work', 'slim']"
81,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslim', 'greeting', 'christian', 'merry', 'forbid', 'dirty', 'religion']"
82,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['next', 'kiss']"
83,90,Race,Indian,Indian people on their way to join the �lain-lain� race category:,0,"['indian', 'people', 'way', 'join', 'race', 'category']"
84,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indian', 'long', 'exist', 'malaysia']"
85,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['normal', 'chinese', 'family', 'always', 'tight', 'money', 'wonder']"
86,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'always', 'money', 'steal']"
87,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'specie', 'good']"
88,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']"
89,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else']
90,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysian', 'jump', 'baby', 'sufficient', 'economic', 'opportunity', 'ask', 'become', 'destabilise', 'fail', 'state']"
91,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['get', 'access', 'housing', 'discount', 'bump', 'unfordable', 'housing']"
92,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['also', 'get', 'access', 'business', 'maybe', 'personal', 'sure', 'loan', 'certain', 'bump', 'program']"
93,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'school', 'feed', 'public', 'unit', 'know', 'admit', 'bump']"
94,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'articulation', 'quota', 'base', 'make', 'easy', 'bump']"
95,98,Race,Malay,And that feeds into public uni as well.,0,"['need', 'public', 'well']"
96,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bump', 'basically', 'get', 'easy', 'access', 'cheap', 'tertiary', 'education']"
97,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['lunch', 'bullshit']"
98,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['pucker', 'know', 'buddhist', 'talk', 'bullshit']"
99,106,Race,Foreigner,Get him deported..,1,"['meet', 'deport']"
100,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'speak', 'speak']"
101,107,Race,Indian,so trashy.,1,['trash']
102,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'breeding', 'day']"
103,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['consider', 'wife', 'big', 'bonus', 'excellent', 'job']"
104,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']"
105,110,Religion,Islam,May the Allah protect me from vices.,0,"['protect', 'vice']"
106,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']"
107,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']"
108,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'carriage']"
109,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'man', 'pregnancy']"
110,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'dear']"
111,120,Race,Foreigner,What's next?,0,['next']
112,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'gerard', 'move', 'mention', 'dead', 'palestinian', 'woman', 'child', 'gain', 'threaten', 'lawsuit']"
113,121,Religion,Unknown,Religious = money,0,"['religious', 'money']"
114,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['unafraid', 'punishment']"
115,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decide', 'exist', 'exploit', 'other']"
116,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'drink', 'alcohol']"
117,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['come', 'greedy', 'bastard', 'fearlessness']"
118,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sound', 'unionist', 'tool', 'bias', 'clearly', 'show']"
119,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wrong', 'country']"
120,128,Race,Malaysian,!,0,[]
121,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']"
122,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indian', 'lose']"
123,133,Race,Malay,Silat is a joke,1,"['flat', 'joke']"
124,134,Race,Malay,silat looks dumb as fuck haha,1,"['look', 'dumb', 'fuck', 'hata']"
125,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['superior', 'competition', 'wise']"
126,136,Religion,Unknown,Religion destroys pretty much everything it touches,1,"['religion', 'destroy', 'pretty', 'much', 'touch']"
127,137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country's own martial arts looks funny.",0,"['malaysian', 'practice', 'martial', 'art', 'say', 'martial', 'art', 'look', 'funny']"
128,138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0,"['malaysian', 'resist', 'none', 'admit', 'racism']"
129,139,Race,Indian,Imagine being Indian cow,1,['imagine']
130,140,Race,Malaysian,"This is fundamentally 1 of the biggest flaws of Malaysian society, which is the total ignorance of rules/laws.",0,"['fundamentally', 'big', 'flaw', 'malaysian', 'society', 'total', 'ignorance', 'ruleslaw']"
131,140,Race,Malaysian,"Double parking, running red lights, all kinds of bribing, and many more.",0,"['double', 'parking', 'run', 'red', 'light', 'kind', 'bring', 'many']"
132,140,Race,Malaysian,"And when it happens between diff ethnicity, racism comes out to play.",0,"['happen', 'ethnicity', 'racism', 'come', 'play']"
133,141,Religion,Others,Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming.,0,"['religious', 'purpose', 'back', 'personally', 'admit', 'people', 'meet', 'way', 'warm', 'welcoming']"
134,141,Religion,Others,"Well , idk about the rest of em , but I never encountered a problem there.",0,"['ink', 'rest', 'never', 'encounter', 'problem']"
135,141,Religion,Others,Well it is just my personal opinion.,0,"['personal', 'opinion']"
136,141,Religion,Others,Scroll pass if this hurts you in any form.,0,"['roll', 'hurt', 'form']"
137,144,Race,Malay,Malays cannot pay rent on time.,1,"['always', 'default', 'rent', 'time']"
138,144,Race,Malay,Don't rent your room to them.,1,"['rent', 'room']"
139,145,Race,Malaysian,"As a foreigner with local relatives, I'm starting to grasp how a lot things function in Malaysia.",0,"['foreigner', 'local', 'relative', 'start', 'grasp', 'lot', 'thing', 'function', 'malaysia']"
140,145,Race,Malaysian,"I think some customs/cultural practices/social norms are honestly holding the whole population back, which is a shame because this country is so much more capable and has such a huge potential.",0,"['think', 'customscultural', 'practicessocial', 'form', 'honestly', 'hold', 'whole', 'population', 'back', 'shame', 'country', 'much', 'capable', 'huge', 'potential']"
141,146,Race,Malay,"Firstly, I will start with the Malay stereotype.",0,"['firstly', 'start', 'malay', 'stereotype']"
142,146,Race,Malay,We are accused of being okay with cronyism and corruption.,0,"['accuse', 'okay', 'cronyism', 'corruption']"
143,146,Race,Malay,Some accused us of relying on �tongkat� and being unable to compete fairly with non-Malays.,0,"['accuse', 'rely', 'unable', 'compete', 'fairly', 'nonalway']"
144,146,Race,Malay,People also say we are too religious and conservative.,0,"['people', 'also', 'say', 'religious', 'conservative']"
145,147,Race,Chinese,the local Chinese care more about Jay Chou than Skuad Harimau.,0,"['local', 'chinese', 'care', 'harimau']"
146,148,Race,Malay,Malays are a majority of civil service staff.,0,"['always', 'majority', 'civil', 'service', 'staff']"
147,148,Race,Malay,"For this, we are also accused of caring only for a government that gives handouts.",0,"['also', 'accuse', 'dare', 'government', 'give', 'handout']"
148,153,Race,Malay,Are the Malays so low on integrity that they can't decide for themselves?,0,"['always', 'low', 'integrity', 'decide']"
149,153,Race,Malay,"How long are they gonna continue diperbodohkan oleh all these racist ideals brought on by politicians , the media etc.",0,"['long', 'donna', 'continue', 'diperbodohkan', 'ole', 'racism', 'ideal', 'bring', 'politician', 'medium']"
150,154,Race,Chinese,"you don't care about our football, go back to your own country",1,"['care', 'football', 'go', 'back', 'country']"
151,155,Gender,Female,"newsflash , nobody fckn cares about woman",1,"['newsflash', 'care', 'woman']"
152,156,Religion,Islam,"his country is literally heading to a hopeless path , no wonder people are leaving due to all these islamic supremacist shits becoming more prominent than ever.",0,"['country', 'literally', 'head', 'hopeless', 'path', 'wonder', 'people', 'leave', 'due', 'islamic', 'supremacist', 'ship', 'become', 'prominent', 'ever']"
153,158,Race,Multiple,"Holy shit this country really is full of racial and religious fanatics, if you're not malay, you're no.1 goal HAS to be leaving this country 1st.",0,"['country', 'really', 'full', 'racial', 'religious', 'lunatic', 'malay', 'goal', 'leave', 'country']"
154,159,Race,Multiple,"Non-Malays happy to criticise the civil service but not want to join them, how do you expect change to happen?",1,"['onalway', 'happy', 'criticise', 'civil', 'service', 'want', 'join', 'expect', 'change', 'happen']"
155,159,Race,Multiple,"Be the change you want to see, but yet I see many of you preferring to go to the private sector instead of yourselves serving the rakyat.",1,"['change', 'see', 'yet', 'see', 'many', 'prefer', 'go', 'private', 'sector', 'instead', 'serve', 'rakyat']"
156,159,Race,Multiple,So of course the Malays will work in the government.,1,"['course', 'always', 'work', 'government']"
157,159,Race,Multiple,"We always have since before we gained independence from the British, and still continue to serve the country that way.",1,"['always', 'gain', 'independence', 'british', 'still', 'continue', 'serve', 'country', 'way']"
158,160,Race,Unknown,"you don't speak my language, then do not bother, you will not get the job",1,"['speak', 'language', 'bother', 'get', 'job']"
159,161,Race,Multiple,So of course only the Malays should work in the government.,1,"['course', 'always', 'work', 'government']"
160,161,Race,Multiple,"We always have since before we gained independence from the British, and still continue to serve the country that way.",1,"['always', 'gain', 'independence', 'british', 'still', 'continue', 'serve', 'country', 'way']"
161,162,Race,Multiple,Don't call yourself Malaysian if you cannot speak Bahasa Malaysia,1,['call']
162,163,Religion,Christianity,these Christians will usually not want to mix with others.,1,"['christian', 'usually', 'want', 'mix', 'other']"
163,164,Race,Chinese,I don't like this chinese.,0,[]
164,164,Race,Chinese,He is a banana.,0,[]
165,165,Race,Malay,"If the person wears a tudung, the hiring manager assumes they will get pregnant every year or is too conservative and cannot do work.",0,"['person', 'wear', 'dung', 'hire', 'manager', 'assume', 'get', 'pregnant', 'year', 'conservative', 'unmake', 'work']"
166,165,Race,Malay,Or is lazy and will steal company time to pray too much.,0,"['lazy', 'steal', 'company', 'time', 'pray', 'much']"
167,166,Race,Malay,These stereotypes are unfair.,0,"['stereotype', 'unfair']"
168,166,Race,Malay,"We Malays want to improve the economy and our livelihood, we want to work hard at our jobs.",0,"['always', 'want', 'improve', 'economy', 'livelihood', 'want', 'work', 'hard', 'job']"
169,166,Race,Malay,"But already at hiring, these assumptions stop our fair chance.",0,"['already', 'hire', 'assumption', 'stop', 'fair', 'chance']"
170,166,Race,Malay,"Why do you think Malays prefer to set up their own SMEs, join GLC or go work in civil service?",0,"['think', 'always', 'prefer', 'set', 'sme', 'join', 'glc', 'go', 'work', 'civil', 'service']"
171,167,Race,Indian,Indians will always trash your place.,1,"['always', 'trash', 'place']"
172,167,Race,Indian,You sure you want to rent it to them?,1,"['sure', 'want', 'rent']"
173,170,Race,Malaysian,"Basically all malaysians are racist, this is a fact.",0,"['basically', 'malaysian', 'racism', 'fact']"
174,170,Race,Malaysian,"Its just depends how racist u are, and in what way.",0,"['depend', 'racism', 'way']"
175,170,Race,Malaysian,"As long as not at retard level, u are normal.",0,"['long', 'retard', 'level', 'normal']"
176,171,Race,Indian,This is Indian culture.,0,['culture']
177,172,Race,Malaysian,We Malaysians hate every single race equally lol,0,"['malaysian', 'hate', 'single', 'race', 'equally']"
178,173,Race,Multiple,"While many generals were sympathetic and caring towards everyone under their care, the little Napoleons in the ministry of defence � the civil servants with authority � made policies pertaining to promotion and enforced an unwritten regulation and a quota system regarding non-Malays.",0,"['many', 'general', 'sympathetic', 'dare', 'care', 'little', 'napoleon', 'ministry', 'defence', 'civil', 'servant', 'authority', 'make', 'policy', 'pertain', 'promotion', 'enforce', 'unwritten', 'regulation', 'quota', 'system', 'regard', 'nonalway']"
179,174,Race,Multiple,politicians were also to blame for outrageous statements questioning the loyalty of non-Malays,0,"['politician', 'also', 'blame', 'outrageous', 'statement', 'question', 'loyalty', 'nonalway']"
180,175,Race,Multiple,"Patriotism regarding non-Malays, in particular the Chinese and Indians, in the military has never been an issue.",0,"['patriotism', 'regard', 'nonalway', 'particular', 'chinese', 'military', 'differ', 'issue']"
181,176,Race,Multiple,non-Malay officers and men fought gallantly alongside their Malay brothers-in-arms.,0,"['nonmalay', 'officer', 'man', 'fight', 'gallantly', 'malay', 'brothersinarm']"
182,177,Race,Multiple,I strive to encourage more non-Malays to join the Armed Forces,0,"['encourage', 'nonalway', 'join', 'armed', 'force']"
183,178,Race,Malay,Malays have Bumiputera policies yet they complains that other races are racists.,0,"['always', 'bumiputera', 'policy', 'yet', 'complain', 'race', 'resist']"
184,179,Race,Multiple,Nons dont want to join civil servise because of the continual discrimination and institunalised islamisation.,0,"['son', 'want', 'join', 'civil', 'service', 'continual', 'discrimination', 'institunalise', 'islamisation']"
185,179,Race,Multiple,"Look at when our country independence, there were many non Malays hired by British.",0,"['take', 'country', 'independence', 'many', 'non', 'always', 'hire', 'british']"
186,179,Race,Multiple,"But after independence, orang kito hire orang kito.",0,['kit']
187,179,Race,Multiple,"And because of radicalization and islamisation, muslim and nons muslims cant even eat on the same table when non muslims eat their home cooked meal.",0,"['radicalization', 'islamisation', 'none', 'muslin', 'even', 'eat', 'table', 'eat', 'home', 'cook', 'meal']"
188,179,Race,Multiple,Who caused this?,0,['cause']
189,180,Religion,Islam,Your only asking non-muslims accommodate your people.,0,"['ask', 'nonmuslin', 'accommodate', 'people']"
190,180,Religion,Islam,Have u tried to accommodating the non-muslims?,0,"['try', 'nonmuslin']"
191,181,Religion,Multiple,Non-Muslims are not allowed to pray in this surau room.,0,"['onmuslim', 'allow', 'pray', 'sure', 'room']"
192,182,Religion,Buddhism,This house doesn't welcome Buddhists.,1,"['welcome', 'buddhist']"
193,182,Religion,Buddhism,Go away.,1,['away']
194,183,Race,Chinese,"the money your use is earned by your chinese parents, so that money itself got babi essence in it.",1,"['money', 'use', 'earn', 'chinese', 'parent', 'money', 'get', 'baby', 'essence']"
195,183,Race,Chinese,"If I use that babi money to buy food, its equaly to feeding me nonhalal food",1,"['use', 'baby', 'money', 'buy', 'food', 'equal', 'feeding', 'nonhalal', 'food']"
196,184,Race,Multiple,All race matters.,0,"['race', 'matter']"
197,185,Race,Multiple,"Black lives matter... Rohingya lives matter... Pendatang lives matter, Cinis India lives matter...",0,"['black', 'life', 'matter', 'live', 'matter', 'live', 'matter', 'line', 'live', 'matter']"
198,186,Race,Malay,Always complain complain complain that they are ditindas but who always says others are pendatang?,0,"['always', 'complain', 'complain', 'complain', 'ditinda', 'always', 'say', 'other', 'pendatang']"
199,186,Race,Malay,Who always provoke others and defended themselves by saying they are very sabar and bertolak ansur but always ask others jangan kurang ajar and hormat their �keistimewaan�?!,0,"['always', 'provoke', 'other', 'defend', 'say', 'saber', 'answer', 'always', 'ask', 'other']"
200,186,Race,Malay,Please remember every human has their own human rights and no one is above anyone.,0,"['remember', 'human', 'human', 'right']"
201,186,Race,Malay,Such narrow minded.,0,"['narrow', 'minded']"
202,186,Race,Malay,"Actually others don't give a goddam f*, it's just your own insecurity if you always feel being threatened.",0,"['actually', 'other', 'give', 'insecurity', 'always', 'feel', 'threaten']"
203,186,Race,Malay,Don't listen to too much bulls* and please broaden your mindset.,0,"['listen', 'much', 'ball', 'broaden', 'midst']"
204,186,Race,Malay,Go visit countries after covid and read more books.,0,"['visit', 'country', 'read', 'book']"
205,187,Race,Multiple,the civil service was multicultural before NEP.,0,"['civil', 'service', 'multicultural', 'nep']"
206,187,Race,Multiple,so dont say other race dont wanna join civil services.,0,"['say', 'race', 'anna', 'join', 'civil', 'service']"
207,188,Race,Malay,Agree.,0,['agree']
208,188,Race,Malay,"I have team lead and colleagues who are Malay, and they are brilliant.",0,"['team', 'lead', 'colleague', 'malay', 'brilliant']"
209,188,Race,Malay,"But they are not average bumi, they went to oversea to study, speak English more than they speak Malay, they willing to share their religious thoughts with us, ppl can agree to disagree.",0,"['average', 'bump', 'go', 'oversea', 'study', 'speak', 'speak', 'malay', 'willing', 'share', 'religious', 'thought', 'agree', 'disagree']"
210,188,Race,Malay,"Unlike some (you find many in mkini Facebook) , their religion is ultimate, and superior to the rest, i am taught to learn and question, i don't know about them lah...",0,"['find', 'many', 'skin', 'facebook', 'religion', 'ultimate', 'superior', 'rest', 'teach', 'learn', 'question', 'know', 'law']"
211,189,Race,Malay,I will kill you stupid pig in 3 days.,1,"['kill', 'stupid', 'pig', 'day']"
212,190,Race,Chinese,You are not a pure Chinese you mixed bitch,1,"['pure', 'chinese', 'mixed', 'bitch']"
