No,Category,SubCategory1,Post,HateSpeech
58,None,None,poor you...can't even differentiate pork & cat..is it logical that the cat meat is so thick? simply accused like you are not educated.,0
59,Religion,Islam,This idiot muslim only know beef and chicken in this world...  he doesn't know what is pork ...,1
60,Race,Chinese,STFU and be a quiet Chinaman or go home,1
61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0
62,None,None,"The color grading looks like ass, learn to calibrate your display before calling yourself a professional ffs.",0
63,Race,Foreigner,"For every expat/tourist that sings praises of us, there’s one sour grape out to ruin nice things.",0
64,Race,Malay,He is a Malaysian not Malay,0
65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0
66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world. And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1
67,Race,Foreigner,Is all people from the west bad? No. But all people should be judge by the same lenses.,0
68,None,None,"The actual city of Klang is OK, but it's the peripherals of the city is where it's at. Taman Sentose, Pandamaran or Meru is where you're most likely to get stabbed, robbed or jacked",0
69,None,None,That is cool. Also very stark contrast.,0
70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0
71,Race,Malay,Damn we're lucky Malay people like to make babies. Or else Malaysia gonna be next Japan.,0
72,Race,Chinese,Chinese are still superstitious,0
73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0
74,None,None,"A WAKE UP CALL FOR ALL MALAYSIANS TO VOTE WISELY. IF PAS GAIN POWER, JUST IMAGINE THE ECONOMY WILL GO DOWN THE DRAINS, YOUTH FUTURE WILL BE AFFECTED ETC ETC",0
75,Religion,Islam,Islam is not good for Malaysia. They are in a coconut shell or a cave.,1
76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0
77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0
78,Religion,Unknown,He was just giving his opinion and suggestion ... I don't think he wants to meddle with any religion ... Can't he give his opinion on matters??,0
79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0
80,None,None,We can talk about it till the cows come home but nothing will change.,0
81,None,None,"Yes, the Palace should strip Hadi Awang of his Tan Sri and Datukship for defying the Sultan for spewing political sermons in the mosque.",0
82,Gender,Female,Hai Yah! Why keep scolding non-stop?? Acting like a woman??,1
83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0
84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0
85,Religion,Multiple,Muslims working under non Muslim is Haram. Muslims should only work under Muslim.,1
86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1
87,None,None,Clean up your backyard first,0
88,None,None,I think people are starting to realize that having a dragon baby just causes unnecessary stress and competition for the child. So some actively don't want dragon babies,0
89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0
90,Race,Indian,Indian people on their way to join the “lain-lain” race category:,0
91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1
92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0
93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1
94,Race,Malay,Time to ditch these species for good,1
95,Race,Malay,Damn we're lucky Malay people like to make babies. Or else Malaysia gonna be next Japan.,0
96,None,None,Extremism is when someone has beliefs that most people think are unreasonable and unacceptable.,0
97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0
98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing. They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs. They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi). Pretty sure matriculation is quota based which makes it easier for bumi. And that feeds into public uni as well. So bumi basically get easier access to cheaper tertiary education.,0
99,Religion,Buddhism,Bunch of bullshit from you. Fucker doesn't know of Buddhism talk bullshit.,0
100,None,None,"being a Dragon is a lot cooler than let say a Mouse, a Snake or a Pig",0
101,None,None,"Awww, come on. Justice for the pig. The pig never gave up on the race and ended up just making the zodiac! The pig is hardworking, a go getter, motivated and doesn't give up. Not to mention cute and loveable. I think there's lots to love about the pig!",0
102,None,None,"This is why we got lots of ""dragon"" in Malaysia.",0
103,None,None,I can't believe ppl so stupid don't know how to use contraceptives,0
104,None,None,"He literally dragged her by her hair. Absolutely dehumanizing, psycho.",0
105,None,None,"There are still people who are making jokes on something like this too, wtf is wrong with some of these mfs man.",0
106,Race,Foreigner,Get him deported.. They only know how to poke poke..,1
107,Race,Indian,so trashy. and these are the majority of the Indians breeding these days,1
108,Gender,Female,Tom should consider his wife a big bonus for her excellent job. It is hard to find a loyal servant this day.,1
109,None,None,A disgrace shameless UMNO and its stupidity,0
110,Religion,Islam,May the Allah protect me from vices.,0
111,None,None,Chemically castrate the fucker,0
112,Gender,Multiple,Smart man + smart woman = Romance. Smart man + dumb woman = Affair.  Smart woman + dumb man = Marriage. Dumb woman + Dumb man = Pregnancy.,1
113,None,None,Omg!! So much pork and cooked different ways!! It all looks so delicious,0
114,None,None,Are you kidding me Where is this,0
115,None,None,Amazing cooking!!!,0
116,None,None,So many delicious food,0
117,Race,Chinese,Happy Chinese New Year,0
118,None,None,Yummy foods u are all so blessed having plenty of delicious foods,0
119,None,None, It takes a truly vile sort of people to steal money meant for people who are in living hell.,0
120,Race,Foreigner,"What's next? Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0
121,Religion,Unknown,Religious = money ,0
122,None,None,Hope there's a special hell for these people,0
123,Religion,Unknown,How is this guy not afraid of the punishment from God? Or has he decided that God doesn’t exist and he can exploit others?,0
124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0
125,Religion,Unknown,I can’t fathom how come these greedy bastards has no fear for God,0
126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1
127,None,None,"Maybe instead of trying to infiltrate people’s lives with morale posturing about kafir or yahudi boycott garbage, Malaysia should fix the internal issues first and be more honest about the real problems threatening Muslim society",0
128,Race,Malaysian,Wtf whats wrong with our country!!,0
129,None,None,Damn they did a few kungfu moves and thinks they can defeat someone professionally trained in the art of beating the shit out of someone?,0
130,None,None,Probably some sorta middle age tok janggut wannabe who thinks he can take on a professional fighter just because he once substituted the grandpa main coach and trained the kiddies class.,0
131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0
132,Race,Indian,I love to see them try to fight Indians and lose.,0
133,Race,Malay,Silat is a joke,1
134,Race,Malay,silat looks dumb as fuck haha,1
135,Race,Malay,muay thai is superior than silat as in the competition wise,0
136,Religion,Unknown,Religion destroys pretty much everything it touches,1
137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country’s own martial arts looks funny.",0
138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0
139,Race,Indian,Imagine being Indian cow,1
140,Race,Malaysian,"This is fundamentally 1 of the biggest flaws of Malaysian society, which is the total ignorance of rules/laws. Double parking, running red lights, all kinds of bribing, and many more. And when it happens between diff ethnicity, racism comes out to play.",0
141,Religion,Others,"Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming. Well , idk about the rest of em , but I never encountered a problem there. Well it is just my personal opinion. Scroll pass if this hurts you in any form.",0
142,None,None,Let's not soak up the hatred around with more of it's kind.,0
143,None,None,"The best response to this is to ask him to come out with any solution for people who already paid for transport from out of town, the accommodations and planned leaves and stuff. That on top of the fees and stuff that had been paid to the organisers.",0
144,Race,Malay,Malays cannot pay rent on time. Don't rent your room to them.,1
145,Race,Malaysian,"As a foreigner with local relatives, I'm starting to grasp how a lot things function in Malaysia. I think some customs/cultural practices/social norms are honestly holding the whole population back, which is a shame because this country is so much more capable and has such a huge potential.",0
146,Race,Malay,"Firstly, I will start with the Malay stereotype. We are accused of being okay with cronyism and corruption. Some accused us of relying on “tongkat” and being unable to compete fairly with non-Malays. People also say we are too religious and conservative.",0
147,Race,Chinese,the local Chinese care more about Jay Chou than Skuad Harimau.,0
148,Race,Malay,"Malays are a majority of civil service staff. For this, we are also accused of caring only for a government that gives handouts.",0
149,None,None, a football match is more important than all the money you paid,0
150,None,None,"n my book, patriotism means allegiance to reasonable rules of laws, performing of reasonable contractual obligations, orderly queue. Patriotism doesn't mean allegiance to entitled spoilt brats",0
151,None,None,This guy is a dumb ass.. Now he's a racist dumbass.,0
152,None,None,its obvs that this guy is trying to create a divide among races. Hope Malaysians can see through the bs.,0
153,Race,Malay,"Are the Malays so low on integrity that they can't decide for themselves? How long are they gonna continue diperbodohkan oleh all these racist ideals brought on by politicians , the media etc. ",0
154,Race,Chinese,"you don't care about our football, go back to your own country",1
155,Gender,Female,"newsflash , nobody fckn cares about woman",1
156,Religion,Islam,"his country is literally heading to a hopeless path , no wonder people are leaving due to all these islamic supremacist shits becoming more prominent than ever.",0
157,None,None," For all I care, FAM and Harimau Malaya can just burn to the ground.",0
158,Race,Multiple,"Holy shit this country really is full of racial and religious fanatics, if you're not malay, you're no.1 goal HAS to be leaving this country 1st.",0
159,Race,Multiple,"Non-Malays happy to criticise the civil service but not want to join them, how do you expect change to happen? Be the change you want to see, but yet I see many of you preferring to go to the private sector instead of yourselves serving the rakyat. So of course the Malays will work in the government. We always have since before we gained independence from the British, and still continue to serve the country that way.",1
160,Race,Unknown,"you don't speak my language, then do not bother, you will not get the job",1
161,Race,Multiple,"So of course only the Malays should work in the government. We always have since before we gained independence from the British, and still continue to serve the country that way.",1
162,Race,Multiple,Don't call yourself Malaysian if you cannot speak Bahasa Malaysia,1
163,Religion,Christianity,these Christians will usually not want to mix with others.,1
164,Race,Chinese,I don't like this chinese. He is a banana.,0
165,Race,Malay,"If the person wears a tudung, the hiring manager assumes they will get pregnant every year or is too conservative and cannot do work. Or is lazy and will steal company time to pray too much.",0
166,Race,Malay,"These stereotypes are unfair. We Malays want to improve the economy and our livelihood, we want to work hard at our jobs. But already at hiring, these assumptions stop our fair chance. Why do you think Malays prefer to set up their own SMEs, join GLC or go work in civil service?",0
167,Race,Indian,Indians will always trash your place. You sure you want to rent it to them?,1
168,None,None,"When criticised, the same people say that it is a private market, they can do whatever they want.",0
169,None,None,"If you can’t compete, don’t hate the competition.",0
170,Race,Malaysian,"Basically all malaysians are racist, this is a fact. Its just depends how racist u are, and in what way. As long as not at retard level, u are normal.",0
171,Race,Indian,This is Indian culture.,0
172,Race,Malaysian,We Malaysians hate every single race equally lol,0
173,Race,Multiple,"While many generals were sympathetic and caring towards everyone under their care, the little Napoleons in the ministry of defence – the civil servants with authority – made policies pertaining to promotion and enforced an unwritten regulation and a quota system regarding non-Malays.",0
174,Race,Multiple,politicians were also to blame for outrageous statements questioning the loyalty of non-Malays,0
175,Race,Multiple,"Patriotism regarding non-Malays, in particular the Chinese and Indians, in the military has never been an issue.",0
176,Race,Multiple,non-Malay officers and men fought gallantly alongside their Malay brothers-in-arms.,0
177,Race,Multiple,I strive to encourage more non-Malays to join the Armed Forces,0
178,Race,Malay,Malays have Bumiputera policies yet they complains that other races are racists.,0
179,Race,Multiple,"Nons dont want to join civil servise because of the continual discrimination and institunalised islamisation. Look at when our country independence, there were many non Malays hired by British. But after independence, orang kito hire orang kito. And because of radicalization and islamisation, muslim and nons muslims cant even eat on the same table when non muslims eat their home cooked meal. Who caused this?",0
180,Religion,Islam,Your only asking non-muslims accommodate your people. Have u tried to accommodating the non-muslims?,0
181,Religion,Multiple,Non-Muslims are not allowed to pray in this surau room.,0
182,Religion,Buddhism,This house doesn't welcome Buddhists. Go away.,1
183,Race,Chinese,"the money your use is earned by your chinese parents, so that money itself got babi essence in it. If I use that babi money to buy food, its equaly to feeding me nonhalal food",1
184,Race,Multiple,All race matters.,0
185,Race,Multiple,"Black lives matter... Rohingya lives matter... Pendatang lives matter, Cinis India lives matter...",0
186,Race,Malay,"Always complain complain complain that they are ditindas but who always says others are pendatang? Who always provoke others and defended themselves by saying they are very sabar and bertolak ansur but always ask others jangan kurang ajar and hormat their “keistimewaan”?! Please remember every human has their own human rights and no one is above anyone. Such narrow minded. Actually others don’t give a goddam f*, it’s just your own insecurity if you always feel being threatened. Don’t listen to too much bulls* and please broaden your mindset. Go visit countries after covid and read more books.",0
187,Race,Multiple,the civil service was multicultural before NEP. so dont say other race dont wanna join civil services.,0
188,Race,Malay,"Agree. I have team lead and colleagues who are Malay, and they are brilliant. But they are not average bumi, they went to oversea to study, speak English more than they speak Malay, they willing to share their religious thoughts with us, ppl can agree to disagree. Unlike some (you find many in mkini Facebook) , their religion is ultimate, and superior to the rest, i am taught to learn and question, i don't know about them lah...",0
189,Race,Malay,I will kill you stupid pig in 3 days.,1
190,Race,Chinese,You are not a pure Chinese you mixed bitch,1
191,None,None,I didn't know child labour exists in malaysia Those poor kids have to work in private sector the moment they are born. The world must know about this injustice,0
192,Race,Malay,majority malays are in private sectors.,0
193,Race,Malay,"I think there is a lot of misconception about ""only Chinese / mandarin requirement""....Obviously there is a purpose for hiring such ppl because of the company background that people don't see in dealing with some Chinese ppl like China, HK and etc that only read/speak in Chinese, It also part of the process for the company to run smoothly in the deal, If a Malay is capable in speaking or writing Chinese then I think the company will not have a problem hiring them...same goes for company that hires ""only Japanese requirement"" or sort of other language too",0
194,Race,Multiple,Not able to speak fluent Melayu doesn't them less Malaysian than others,0
195,None,None,Only those politician and those behind keyboards like to stir shits.,0
196,Race,Chinese,"I overheard something about PAS needs to be in power in order to topple some sort of secret syndicate granting citizenship to Chinese people from China, which operates in Pulau Pinang lol.",0
197,Race,Chinese,There is a secret syndicate granting citizenship to Chinese people from China so they can replace us,1
198,Race,Multiple,The Jews have all the money The white have all the power All I have is wife who no take shower,0
199,None,None,"veryone is a bit racist, lets be honest. some try harder than others to not let it affect their judgement and actions.",0
200,Religion,Multiple,Non believers usually ends up in extreme poverty.. Really got no time for those. Just let them be.,1
201,None,None,exactly. this write brain got problem. he say everyone is racist then proceeds to select other race only as racist.,0
202,Race,Malay,Malays cannot compete in private sector.,1
203,Race,Chinese,"Chinese get significant more callbacks for interviews by the private sector, Chinese and foreign MNCS. Even Malays cos also to a lesser degree which was the shocker. Not sure if you can read it from Google Scholar now",0
204,Race,Multiple,Funny that he himself made the stereotype that non malays do not want to join civil service. I myself had applied to the civil service a couple of times but couldn't get in.,0
205,None,None,You butthurt because got called out huh,0
206,None,None,What an insecure writing and talks about racism.,0
207,Religion,Islam, my most recent exes decided to part ways with me after realising that they HAVE to convert to Islam in order for the marriage certificate here to be issued,0
208,Race,Malay,Lots of Malays go to Canada or US and marry non Muslims ,0
209,Religion,Islam,Malaysia never recognizes a foreign marriage between a muslim and a non-muslim unless the non converts.,0
210,None,None,Boo Malaysia,0
211,Religion,Islam,"All is fine and dandy now, but what if the religious zealots get a bit more aggresive? What if Syariah law gets wild? Are we ok with the potential that your daughters or granddaughters must always wear tudung, cannot be out unaccompanied by a trusted man, must attend Religious school instead of normal school?",0
212,Religion,Islam,"The normal legal system is full of imperfections, but at least the Bar Council is or tries to be a loud advocate for everyone's' rights. However, there is no such voice in the Syariah law system. Who is going to safeguard your daughter's rights?",0
213,Race,Malay,most malay men tend to have an inferiority complex and self-hating for their own race,0
214,Religion,Islam,Bro got the weakest advice to make someone stay in islam lol,0
215,Race,Foreigner,we hate Israel not the jews.Get that thing straight.,0
216,Race,Unknown,Govt is racist towards this race.,0
217,Race,Foreigner,one of the reason we hate J,1
218,Race,Foreigner,We don't have any problems with Jew... At peneng also have Jew cemetery...but we do have problems with israel,0
219,Race,Malaysian,"All the Malays hating on him, when he actually said nice things about Malaysians.",0
220,Race,Foreigner,"my answer to u.. yes.. i must hate the all entire jews.. not only because of my religious.. also about humanity.. thats why i told u, u must read the fact history about them",1
221,Religion,Christianity,"the christians are all is stuborn to worship the true god,even prophet are in between and amongs them..",1
222,Race,Multiple,chauvinist malays or chinese or indians or whites or blacks or yellows or browns hate every race in this world including jews.,0
223,Race,Foreigner,"Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming. Well , idk about the rest of em , but I never encountered a problem there. Well it is just my personal opinion. Scroll pass if this hurts you in any form.",0
224,Religion,Others,"Zionism has nothing to do with religion. I believe Muslims and jews have long history of friendship especially during under the rule of caliphate and such, the jerusalem and stuff. Christians have more brutal and unforgiving history with the jews but nowadays it's like somewhat forgotten cause the jews are clever to manipulate media and stuff. The term anti-semitism was coined by them to inject guilt into people who are dared to condemn Zionist. If you don't know what is Zionism, do a little research",0
225,Race,Foreigner,We also not against any Israeli.. We just don't like Israel government which also got issue with their own people..,0
226,None,None,"Wow, I didn't know Malaysia has such ridiculous policies...",0
227,None,None,Your mother is green,0
228,Race,Malay,keep living in a cave and pass in down yr own bloodline. Don’t infect others,1
229,Race,Malaysian,"that’s fair, at least you’re an honest one. We don’t recognize Malaysia either.",1
230,Race,Foreigner,Israel? I have never heard of a country called Israel..but always heard of Palestine..you do not deserve to be in anywhere,1
231,None,None,"your fake information from TV3, Berita Harian tells all about your ignorance.",0
232,None,None,"what about 'israeli goverment' building walls, checkpoints depriving palestinian from freedomn blockade Gaza from the rest of the world, is that not much worse that xenophobic, not speaking about bombing schools and hospitals yet... play victim with one hand, the other hand full of blood, or at least you support it.",0
233,None,None, I think people often blame a whole group of people for their government which is wrong. I appreciate you setting the example for that,0
234,Race,Foreigner,"We are not anti semitic, but we hate what Israel do to Palestine.",0
235,Race,Chinese,"Chinese control the media, Chinese are all rich and powerful, Chinese rule the world. We Malays need to do everything necessary to stop this.",1
236,Religion,Unknown,people getting offended over demolition of papers that have no meaning except for that they have been used to torment people for centuries is why this needs to be done,1
237,Religion,Islam,"We Muslims do not support terrorism, we believe in Peace. We respect all the Religions this. Peace.",0
238,Religion,Christianity,You too will be cut into pieces like this now,1
239,None,None,Cheap fame will take you no where! There is zero value to what you do! From a free thinker.,0
240,Religion,Islam,Can you use it for rolling papers?,1
241,Religion,Islam,Hey man.. its not fun you will get punished by Allah..,0
242,Religion,Islam,A lot of the same people dismissing the objection and condemnation of looting and destruction of businesses are often very sympathetic to the outrage that happens when somebody desecrates a Koran or draws a picture of a Prophet Muhammad with a bomb on his head.,0
243,Religion,Islam,What did you gain by doing this? This irrational move might get fanatics after your head. Stay Safe.,0
244,None,None,I would not visit a country where I was unwelcome and had to hide my identity. Why waste my time and money in such a place when they were many other beautiful countries to visit.,0
245,Race,Foreigner,you're not welcome here..go travel another country,1
246,Race,Malay,anything malay / muslim is hated so much in Malaysia!,0
247,Race,Foreigner,"nobody can eliminate Jews, history tells. Even till today, they are surrounded by all the Arab countries, they still can't eliminate the Jews.",0
248,Race,Foreigner,"We don't hate anyone in Israel. Its just the war situation there and until Israel signs a peace treaty, Malaysia can't recognize Israel as a country. And since its not a country in our govt's eyes, well, you can't technically travel normally here. However, you can request a letter or permission from our Home Affair Ministry. So no, no Israelis are ever banned or hated travelling here, its just how laws and politics work. So.....yeah, inform yourself better.",0
249,Race,Indian,We do not allow killers and thief here .,1
250,Race,Foreigner,"As a Malaysian I do feel sorry for you and a little ashamed about my Government. But maybe they have their reason... I hope 1 day, all people from all different country from this world can come visit Malaysia...",0
251,Race,Multiple,they are minority came from others country and become a our citizen.. and just say whatever they want.. and want all this country accept their bullshit opinion..,1
252,Race,Malay,It looks like a bunch of malay commentators here are the reason why we can't move forward and is proof of how the government has corrupted them. The simple privileges they have stems from racism.,0
253,None,None,"Hello our country not only one religion, not only one race please. Keep your racist opinions to yourself.",0
254,Race,Malaysian,"Well.. what to do? We as Malaysians can't do much either. Unless the government changes, but then it'll still be a tough turn over. Currently with many old politicians. Very few new and young ones are emerging.",0
255,Race,Indian,if you don't like Malaysian laws go back to your own land,1
256,Race,Foreigner,"Wow, so much hatred to Israel, but still we use almost all Isralies products, very weird, right.",0
257,Race,Malay,"where do you come from, Pakistan, Bangla, or where. You look like one of them. I will say you better go to your country instead of telling others.",1
258,Religion,Hinduism,There's law and order for everything. And then there's a Hindu who cant follow them. A whole lot of em apparently.,1
259,None,None,Just curious in the first place how did you even get in here...,0
260,Religion,Islam,its normal for islam people like you to love child killings,1
261,Gender,Female,Just because you're not shot dead on the spot doesn't mean everyone like what you did.,1
262,Religion,Islam,"that's what muslim feel about islamophobia, not all of us is a killer but everyone treat us the same things lol.",0
263,Race,Foreigner,"Go anywhere other than Malaysia, talk about xenophobic or whatever. We dont care, we got our culture here. You are not welcome here.",1
264,Religion,Islam,"Well, they have been taught to hate Israel since they were born and it has been going on for years. It is in their blood & the air they breath.",0
265,Race,Foreigner,Malaysia does not consider israel a state thats clear...because we protest the very idea of ISRAEL. Its not anti semitic we don't hate jews...we protest to the state of israel...it shouldn't even exist...,0
266,Race,Malaysian,How can they find humanity when they still can’t find a plane!,0
267,None,None,how on earth is he hate spreading?,0
268,Race,Foreigner,it's not because u a jew. it's because u show and own an Israeli passport. huge distinction. a buddhist with israeli passport will be treated the same way.,0
269,Race,Foreigner,"We are not anti semitic or anti jews. we are anti zionist, terrosism and extremist. We do not recognize a country that took the land of others by force. Dont play victim here, while at the same time your government systematically murders the Palestinians and occupy their lands.",0
270,Race,Malaysian,"if you want other to respect you, try to teach your govement how to respect people.",0
271,None,None,"Very well said and you have my full support. Not only that, WE, the older generation will rally together and help you. Let us know how we can go about this.",0
272,Race,Malaysian,we will always remember you and MUDA as a clean parties and want what is good for all Malaysian. Stay Strong and fight hard for the future of malaysia. All the best and we will always support you and your team.,0
273,Race,Chinese,Any comment on the latest from Tun M? Chinese community seems frustrated with him still saying such statement after so many years.,0
274,Religion,Multiple,"i have never heard of anyone, muslim or non muslim, malay or non malay wanted to change the country’s name.",0
275,None,None,Just have him arrested and detained overnight like during Operation Lalang. Senang aje!!!,0
276,Race,Malaysian,"Totally agree with your saying, every Malaysian please think of our Children future Vote wisely.",0
277,None,None,"I see him so desperate, even taking up ads on YouTube to promote his racism & hatred. I'm just glad that his age is finally catching up. Malaysia needs to move away from all these infighting and self division. We are so much stronger when together and united.",0
278,None,None,So desperate to win. Revenge. Don't know who is the next victim.,0
279,Religion,Islam,"We should change our mind. Every time we are trying to do game, we forget we are Muslim. Every Muslim country is suffering same problem. They cannot accept opposition.",0
280,None,None,"are you DAP member? How do you know the members jealous ? We all know he is a good man, we love him like everyone else but he has to be responsible for what he did ",0
281,None,None,Are u all suggesting that majority of Chinese are brainless and ungrateful ?,0
282,None,None,Are u all suggesting that majority of Selangor delegates are brainless and ungrateful ?,0
283,Race,Multiple,Non-malays need to assimilate into Malay culture,1
284,Race,Chinese,Indonesian chinese assimilated. but they are still rich af.,0
285,Race,Chinese,"He believe Malaysia is for the Malays, they struggled for independence only to have Chinese capitalists who are more economically motivated take advantage of them.",0
286,Race,Multiple,the priority should ALWAYS be for the Malays no matter what,1
287,Gender,Female,prefer Chinese girls because can dress sexy,0
288,Religion,Islam,"May Allah protect us from such ideologies, practice Islam according to the Qur'an and Sunnah and keep us firm on our deen.",0
289,Race,Chinese,Silence Chinese pig,1
290,Gender,Male,That's only happened after brothers have been degrading sisters online. They should lead by example and not badmouth sisters.,0
291,Religion,Multiple,"even the worst Muslim is better than the best kaafir. besides, no matter what a Muslim is, he is better than non-Muslims",1
292,Religion,Multiple,The comment section on here is a proof of disgusting non-Muslim mindset. Muslim men are flawed for sure but still better than non Muslims 100% because of their belief.,1
