,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
16,16,15,Race,Malay,Sorry to say but malays are so dumb that they shouldnt be controling this country .,1,"['sorry', 'say', 'malays', 'dumb', 'differ', 'controling', 'country']","[335, 82, 2192, 688, 174, 1251, 37, 19, 85, 3]"
17,17,16,Religion,Islam,Those muslims only know how to fuck goats.,1,"['muslims', 'know', 'fuck', 'goats']","[26, 672, 3, 16, 1323, 703, 107, 240, 280, 1035]"
18,18,17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1,"['stop', 'letting', 'malays', 'take', 'country', 'chinese', 'indians', 'could', 'predict', 'future', 'malaysia', 'bankrupt', 'country']","[537, 1687, 313, 499, 830, 2020, 55, 21, 1272, 16]"
19,19,18,Race,Chinese,Chinese people loves rice,0,"['chinese', 'people', 'loves', 'rice']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
20,20,19,Race,Malaysian,Malaysians are friendly towards a variety of races,0,"['malaysians', 'friendly', 'towards', 'variety', 'races']","[81, 28, 348, 1197, 141, 350, 145, 1860, 2011, 240]"
21,21,20,Race,Malaysian,Malaysians are polite and well behaved,0,"['malaysians', 'polite', 'well', 'behaved']","[2397, 34, 1491, 120, 96, 28, 26, 425, 1026, 703]"
22,22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['aporeciate', 'religious', 'dedication', 'guys', 'hijabs']","[1022, 106, 466, 489, 323, 464, 481, 2521, 96, 493]"
23,23,22,Race,Malay,Fuck malays man,1,"['fuck', 'malays', 'man']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
24,24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'ladies', 'tend', 'wear', 'hijab']","[36, 0, 747, 702, 605, 1089, 700, 2821, 704, 27]"
25,25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policies', 'meant', 'correct', 'economic', 'imbalance']","[174, 190, 418, 18, 1272, 1229, 27, 382, 603, 228]"
26,26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'china', 'different', 'chinese', 'people', 'grew', 'countries']","[1459, 122, 2485, 1151, 43, 1472, 1463, 1462, 456, 367]"
27,27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'students', 'africa', 'really', 'cute']","[1117, 32, 1017, 231, 15, 523, 1227, 1801, 1038, 564]"
28,28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hijab', 'makes', 'women', 'beautiful', 'less']","[139, 9, 16, 2174, 56, 228, 1554, 1051, 489, 881]"
29,29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['islam', 'people', 'act', 'like', 'holy', 'commit', 'crime']","[134, 1191, 397, 396, 395, 2224, 2538, 1104, 764, 790]"
30,30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religions', 'teach', 'devotees', 'live', 'peace', 'others']","[139, 9, 16, 2174, 56, 228, 1554, 1051, 489, 881]"
31,31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['chinese', 'indian', 'people', 'treated', 'unfair']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
32,32,37,Gender,Male,Men need to work to get money,0,"['men', 'work', 'get', 'money']","[145, 1026, 1577, 807, 536, 600, 107, 1192, 1193, 85]"
33,33,38,Gender,Male,Most houses are built by men,0,"['houses', 'built', 'men']","[15, 687, 219, 797, 204, 1013, 1255, 29, 1272, 1358]"
34,34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']","[2397, 34, 1491, 120, 96, 28, 26, 425, 1026, 703]"
35,35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'given', 'chance', 'guys']","[1068, 357, 823, 209, 2200, 173, 35, 151, 419, 1119]"
36,36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'kuala', 'lumpur']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
37,37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigners', 'know', 'kuala', 'lumpur', 'city', 'bedbugs']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
38,39,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']","[159, 202, 383, 1599, 2378, 337, 340, 56, 1875, 261]"
39,40,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'outside', 'white', 'inside', 'type', 'british', 'indian', 'therefore', 'westerner']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
40,41,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['indians', 'live', 'like', 'go', 'walk', 'street', 'give', 'dirty', 'looks', 'like', 'better']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
41,42,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indians', 'self', 'awareness', 'arrogant', 'little', 'rats']","[16, 870, 1152, 85, 363, 605, 27, 483, 1445, 710]"
42,43,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']","[234, 55, 185, 807, 1761, 572, 588, 2035, 163, 2443]"
43,44,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'seen', 'eaten', 'pork']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
44,45,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['go', 'back', 'country']","[174, 190, 418, 18, 1272, 1229, 27, 382, 603, 228]"
45,46,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['spread', 'idiocy']","[139, 9, 16, 2174, 56, 228, 1554, 1051, 489, 881]"
46,47,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'canada', 'come']","[584, 1508, 1924, 1311, 3145, 456, 864, 518, 194, 196]"
47,48,56,Race,Indian,They should go back to India.,1,"['go', 'back', 'india']","[174, 190, 418, 18, 1272, 1229, 27, 382, 603, 228]"
48,49,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...��he doesn't know what is pork ...,1,"['idiot', 'muslim', 'know', 'beef', 'chicken', 'world', 'ignore', 'pork']","[1097, 242, 595, 449, 1085, 138, 280, 692, 2565, 2563]"
49,50,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']","[15, 687, 219, 797, 204, 1013, 1255, 29, 1272, 1358]"
50,51,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'stall', 'owner', 'allegedly', 'deceased', 'unknown']","[202, 40, 3, 29, 2310, 923, 131, 27, 142, 56]"
51,52,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['every', 'expat', 'tourist', 'sings', 'praises', 'one', 'sour', 'grape', 'ruin', 'nice', 'things']","[33, 219, 14, 852, 2266, 3, 1047, 168, 1167, 224]"
52,53,64,Race,Malay,He is a Malaysian not Malay,0,"['malaysian', 'malay']","[27, 2031, 591, 226, 426, 50, 19, 526, 215, 2509]"
53,54,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['okay', 'discuss', 'criticise', 'aspects', 'religion', 'buddhism']","[387, 1169, 228, 315, 203, 345, 106, 1272, 304, 29]"
54,55,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['new', 'west', 'try', 'potray', 'reincarnation', 'jesus', 'good', 'guys', 'imaginary', 'world']","[234, 55, 185, 807, 1761, 572, 588, 2035, 163, 2443]"
55,56,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'malaysia', 'love', 'sucking', 'cock', 'whatever', 'white', 'man', 'said', 'right', 'mentality']","[468, 332, 475, 3, 239, 2896, 381, 1187, 203, 1324]"
56,57,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
57,59,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lenses']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
58,60,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['malaysia', 'big', 'accident', 'pretty', 'low', 'unless', 'like', 'kampung', 'area', 'kids', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']","[255, 1040, 260, 445, 3, 2253, 251, 406, 258, 215]"
59,61,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[2182, 874, 1529, 27, 28, 263, 264, 1126, 25, 73]"
60,62,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[2606, 1025, 839, 1598, 56, 174, 266, 1069, 953, 1162]"
61,63,72,Race,Chinese,Chinese are still superstitious,0,"['chinese', 'superstitious']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
62,64,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['malaysia', 'welcome', 'good', 'moral', 'brilliant', 'qualified', 'malaysia', 'citizen']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
63,65,75,Religion,Islam,Islam is not good for Malaysia.,1,"['islam', 'good', 'malaysia']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
64,66,75,Religion,Islam,They are in a coconut shell or a cave.,1,"['coconut', 'shell', 'cave']","[1446, 838, 272, 2855, 880, 1840, 902, 21, 232, 575]"
65,67,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[219, 91, 102, 215, 275, 280, 281, 278, 97, 919]"
66,68,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[219, 91, 102, 215, 275, 280, 281, 278, 97, 919]"
67,69,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['giving', 'opinion', 'suggestion']","[83, 285, 4, 27, 1589, 288, 184, 16, 173, 1097]"
68,70,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['forget', 'wants', 'meddle', 'religion', 'give', 'opinion', 'matters']","[83, 285, 4, 27, 1589, 288, 184, 16, 173, 1097]"
69,72,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shaking', 'muslim', 'lady', 'hand', 'taboo']","[15, 687, 219, 797, 204, 1013, 1255, 29, 1272, 1358]"
70,73,82,Gender,Female,Hai Yah!,1,"['hai', 'yah']","[83, 285, 4, 27, 1589, 288, 184, 16, 173, 1097]"
71,74,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scolding', 'nonstop']","[33, 219, 14, 852, 2266, 3, 1047, 168, 1167, 224]"
72,75,82,Gender,Female,Acting like a woman?,1,"['acting', 'like', 'woman']","[468, 332, 475, 3, 239, 2896, 381, 1187, 203, 1324]"
73,77,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'anyone', 'one', 'gives', 'hinduism', 'terrible', 'reputation']","[387, 1169, 228, 315, 203, 345, 106, 1272, 304, 29]"
74,78,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['incite', 'hatred', 'among', 'buddhists', 'happens']","[1849, 147, 16, 642, 311, 2166, 1110, 1273, 1544, 2488]"
75,79,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslims', 'working', 'non', 'muslim', 'haram']","[202, 40, 3, 29, 2310, 923, 131, 27, 142, 56]"
76,80,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['muslims', 'work', 'muslim']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
77,81,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslims', 'greeting', 'christians', 'merry', 'christmas', 'forbidden', 'dirty', 'religion']","[85, 887, 172, 2551, 1842, 254, 1124, 1125, 29, 628]"
78,82,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['chinese', 'next', 'parent']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
79,83,90,Race,Indian,Indian people on their way to join the �lain-lain� race category:,0,"['indian', 'people', 'way', 'join', 'race', 'category']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
80,84,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indians', 'longer', 'exist', 'malaysia']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
81,85,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['yeah', 'normal', 'chinese', 'family', 'tight', 'money', 'wonder']","[2369, 7, 882, 437, 1812, 327, 884, 444, 1147, 174]"
82,86,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'malays', 'money', 'chinese', 'stole']","[0, 29, 146, 19, 3, 174, 692, 157, 81, 55]"
83,87,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'species', 'good']","[335, 82, 2192, 688, 174, 1251, 37, 19, 85, 3]"
84,88,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[2182, 874, 1529, 27, 28, 263, 264, 1126, 25, 73]"
85,89,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[2606, 1025, 839, 1598, 56, 174, 266, 1069, 953, 1162]"
86,90,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysians', 'pumping', 'babies', 'without', 'sufficient', 'economic', 'opportunities', 'asking', 'become', 'destabilised', 'failed', 'state']","[159, 202, 383, 1599, 2378, 337, 340, 56, 1875, 261]"
87,91,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['bumi', 'get', 'access', 'housing', 'discounts', 'bumi', 'affordable', 'housing']","[81, 28, 348, 1197, 141, 350, 145, 1860, 2011, 240]"
88,92,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['get', 'access', 'business', 'maybe', 'personal', 'sure', 'loans', 'certain', 'bumi', 'programs']","[391, 392, 1266, 354, 1049, 102, 355, 1961, 143, 56]"
89,93,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'schools', 'feed', 'public', 'unis', 'yes', 'know', 'mrsm', 'admits', 'nonbumi', 'bumi']","[335, 82, 2192, 688, 174, 1251, 37, 19, 85, 3]"
90,94,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'matriculation', 'quota', 'based', 'makes', 'easier', 'bumi']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
91,95,98,Race,Malay,And that feeds into public uni as well.,0,"['feeds', 'public', 'uni', 'well']","[219, 91, 102, 215, 275, 280, 281, 278, 97, 919]"
92,96,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bumi', 'get', 'easier', 'access', 'cheaper', 'tertiary', 'education']","[2182, 874, 1529, 27, 28, 263, 264, 1126, 25, 73]"
93,97,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['bunch', 'bullshit']","[761, 2970, 628, 120, 376, 1659, 1433, 574, 2929, 2846]"
94,98,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['fucker', 'ignore', 'buddhism', 'talk', 'bullshit']","[45, 154, 927, 2039, 343, 2285, 929, 928, 375, 561]"
95,99,106,Race,Foreigner,Get him deported..,1,"['get', 'deported']","[145, 1026, 1577, 807, 536, 600, 107, 1192, 1193, 85]"
96,100,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'poke', 'poke']","[85, 887, 172, 2551, 1842, 254, 1124, 1125, 29, 628]"
97,101,107,Race,Indian,so trashy.,1,['trashy'],"[83, 285, 4, 27, 1589, 288, 184, 16, 173, 1097]"
98,102,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'indians', 'breeding', 'days']","[6, 23, 265, 3, 894, 228, 2976, 2244, 1797, 1083]"
99,103,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['tom', 'consider', 'wife', 'big', 'bonus', 'excellent', 'job']","[387, 1169, 228, 315, 203, 345, 106, 1272, 304, 29]"
100,104,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']","[391, 392, 1266, 354, 1049, 102, 355, 1961, 143, 56]"
101,105,110,Religion,Islam,May the Allah protect me from vices.,0,"['may', 'allah', 'protect', 'vices']","[134, 1191, 397, 396, 395, 2224, 2538, 1104, 764, 790]"
102,106,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']","[300, 627, 400, 98, 1061, 456, 175, 591, 743, 324]"
103,107,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
104,108,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'marriage']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
105,109,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'dumb', 'man', 'pregnancy']","[107, 80, 1659, 186, 130, 3, 219, 403, 323, 1239]"
106,110,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'year']","[759, 1545, 1067, 933, 27, 1804, 287, 405, 817, 1944]"
107,111,120,Race,Foreigner,What's next?,0,['next'],"[304, 228, 1325, 267, 127, 1191, 323, 1970, 999, 2008]"
108,112,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'jirard', 'move', 'mentioning', 'dead', 'palestinian', 'women', 'children', 'gain', 'sympathy', 'threatening', 'sprm', 'lawsuit']","[92, 203, 171, 16, 669, 407, 537, 524, 1483, 389]"
109,113,121,Religion,Unknown,Religious = money,0,"['religious', 'money']","[1022, 106, 466, 489, 323, 464, 481, 2521, 96, 493]"
110,114,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['guy', 'unafraid', 'punishment', 'god']","[2397, 34, 1491, 120, 96, 28, 26, 425, 1026, 703]"
111,115,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decided', 'god', 'exist', 'exploit', 'others']","[761, 2970, 628, 120, 376, 1659, 1433, 574, 2929, 2846]"
112,116,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'drink', 'alcohol', 'ok']","[56, 19, 27, 50, 425, 896, 86, 55, 543, 65]"
113,117,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['fathom', 'come', 'greedy', 'bastards', 'fearlessness', 'god']","[174, 190, 418, 18, 1272, 1229, 27, 382, 603, 228]"
114,118,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sounded', 'like', 'zionist', 'tool', 'bias', 'clearly', 'shown']","[26, 672, 3, 16, 1323, 703, 107, 240, 280, 1035]"
115,119,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wtf', 'whats', 'wrong', 'country']","[234, 55, 185, 807, 1761, 572, 588, 2035, 163, 2443]"
116,121,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']","[26, 672, 3, 16, 1323, 703, 107, 240, 280, 1035]"
117,122,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indians', 'lose']","[446, 138, 685, 240, 582, 627, 481, 174, 156, 1682]"
118,123,133,Race,Malay,Silat is a joke,1,"['silat', 'joke']","[1417, 2128, 876, 218, 675, 674, 448, 1797, 452, 1138]"
119,124,134,Race,Malay,silat looks dumb as fuck haha,1,"['silat', 'looks', 'dumb', 'fuck', 'haha']","[1097, 242, 595, 449, 1085, 138, 280, 692, 2565, 2563]"
120,125,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['muay', 'thai', 'superior', 'silat', 'competition', 'wise']","[1417, 2128, 876, 218, 675, 674, 448, 1797, 452, 1138]"
121,126,136,Religion,Unknown,Religion destroys pretty much everything it touches,1,"['religion', 'destroys', 'pretty', 'much', 'everything', 'touches']","[1008, 2849, 619, 1293, 589, 40, 202, 16, 59, 3]"
122,127,137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country's own martial arts looks funny.",0,"['jojo', 'malaysian', 'practices', 'muay', 'thai', 'thai', 'martial', 'arts', 'saying', 'silat', 'country', 'martial', 'arts', 'looks', 'funny']","[246, 226, 55, 19, 975, 219, 461, 458, 453, 81]"
123,128,138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0,"['malaysians', 'racists', 'none', 'admit', 'racist']","[1022, 106, 466, 489, 323, 464, 481, 2521, 96, 493]"
124,129,139,Race,Indian,Imagine being Indian cow,1,"['imagine', 'indian', 'cow']","[142, 309, 324, 256, 387, 246, 2015, 953, 2104, 2696]"
125,130,140,Race,Malaysian,"This is fundamentally 1 of the biggest flaws of Malaysian society, which is the total ignorance of rules/laws.",0,"['fundamentally', 'biggest', 'flaws', 'malaysian', 'society', 'total', 'ignorance', 'rules', 'laws']","[468, 332, 475, 3, 239, 2896, 381, 1187, 203, 1324]"
126,131,140,Race,Malaysian,"Double parking, running red lights, all kinds of bribing, and many more.",0,"['double', 'parking', 'running', 'red', 'lights', 'kinds', 'bribing', 'many']","[481, 2949, 282, 1656, 1745, 1335, 195, 2560, 523, 984]"
127,132,140,Race,Malaysian,"And when it happens between diff ethnicity, racism comes out to play.",0,"['happens', 'diff', 'ethnicity', 'racism', 'comes', 'play']","[1053, 1407, 741, 24, 2565, 845, 1855, 3196, 2748, 881]"
128,133,141,Religion,Others,Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming.,0,"['israel', 'religious', 'purposes', 'back', 'personally', 'admit', 'people', 'meet', 'along', 'way', 'warm', 'welcoming']","[1022, 106, 466, 489, 323, 464, 481, 2521, 96, 493]"
129,134,141,Religion,Others,"Well , idk about the rest of em , but I never encountered a problem there.",0,"['well', 'idk', 'rest', 'encountered', 'problem']","[1643, 497, 1644, 904, 1603, 1642, 1601, 418, 1645, 173]"
130,135,141,Religion,Others,Well it is just my personal opinion.,0,"['well', 'personal', 'opinion']","[391, 392, 1266, 354, 1049, 102, 355, 1961, 143, 56]"
131,136,141,Religion,Others,Scroll pass if this hurts you in any form.,0,"['scroll', 'pass', 'hurts', 'form']","[537, 1687, 313, 499, 830, 2020, 55, 21, 1272, 16]"
132,137,144,Race,Malay,Malays cannot pay rent on time.,1,"['malays', 'default', 'rent', 'time']","[336, 194, 144, 1686, 1631, 28, 902, 300, 591, 27]"
133,138,144,Race,Malay,Don't rent your room to them.,1,"['rent', 'room']","[28, 3, 1030, 242, 939, 1223, 1506, 505, 404, 39]"
