,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Topic_Probabilities,Topic,Representative_Docs
19,18,Race,Chinese,Chinese people loves rice,0,"['chinese', 'people', 'loves', 'rice']","[4, 0.9427055658863777]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
20,19,Race,Malaysian,Malaysians are friendly towards a variety of races,0,"['malaysians', 'friendly', 'towards', 'variety', 'races']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
21,20,Race,Malaysian,Malaysians are polite and well behaved,0,"['malaysians', 'polite', 'well', 'behaved']","[2, 0.9746486609730673]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['aporeciate', 'religious', 'dedication', 'guys', 'hijabs']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
23,22,Race,Malay,Fuck malays man,1,"['fuck', 'malays', 'man']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'ladies', 'tend', 'wear', 'hijab']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policies', 'meant', 'correct', 'economic', 'imbalance']","[12, 0.7902739341877668]","['country', 'foreign', 'land', 'british', 'locals', 'workers', 'foreigners', 'want', 'continue', 'historian']","['locals want job think need foreign workers first place', 'since gained independence british continue serve country way', 'since gained independence british continue serve country way']"
26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'china', 'different', 'chinese', 'people', 'grew', 'countries']","[4, 0.8572495589631077]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'students', 'africa', 'really', 'cute']","[21, 0.6103088446645631]","['bumi', 'access', 'bifoti', 'housing', 'easier', 'public', 'companies', 'education', 'get', 'really']","['get access business maybe personal unsure loans certain bumi programs', 'bumi get easier access cheaper tertiary education', 'bumi get access housing discounts bumi affordable housing']"
28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hijab', 'makes', 'women', 'beautiful', 'less']","[15, 0.9837147258388423]","['nonmuslims', 'ban', 'concerts', 'artistes', 'hedonistic', 'automatically', 'hijab', 'moral', 'nonmuslim', 'foreign']","['concerts foreign artistes automatically hedonistic', 'true tho concerts foreign artistes automatically hedonistic', 'moral education subject taken exclusively nonmuslims mandatory nonmuslims']"
29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['islam', 'people', 'act', 'like', 'holy', 'commit', 'crime']","[5, 0.6910067436013932]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religions', 'teach', 'devotees', 'live', 'peace', 'others']","[6, 0.7621980153032124]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['chinese', 'indian', 'people', 'treated', 'unfair']","[4, 0.7006053442013573]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
32,37,Gender,Male,Men need to work to get money,0,"['men', 'need', 'work', 'get', 'money']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
33,38,Gender,Male,Most houses are built by men,0,"['houses', 'built', 'men']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']","[1, 0.9112917386982246]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'given', 'chance', 'guys']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'kuala', 'lumpur']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigners', 'know', 'kuala', 'lumpur', 'city', 'bedbugs']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
38,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
39,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'outside', 'white', 'inside', 'type', 'british', 'indian', 'therefore', 'westerner']","[7, 0.9558224885110062]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
40,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['indians', 'live', 'like', 'go', 'walk', 'street', 'give', 'dirty', 'looks', 'like', 'better']","[7, 0.4134346568062941]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
41,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indians', 'self', 'awareness', 'arrogant', 'little', 'rats']","[7, 1.0]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
42,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
43,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'seen', 'eaten', 'pork']","[18, 0.6427528554414231]","['eat', 'halal', 'pork', 'dog', 'muslim', 'slaughter', 'alcohol', 'non', 'free', 'eating']","['muslim eat', 'long eat pork dont drink alcohol ok', 'radicalization islamisation muslim nons muslims odd eat table non muslims eat home cooked meal']"
44,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['go', 'back', 'country']","[20, 1.0]","['go', 'back', 'country', 'travel', 'jus', 'forwarding', 'shipping', 'books', 'changes', 'tough']","['go back india', 'go black no-go back', 'go back country']"
45,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['gather', 'idiocy']","[3, 0.7424494884494375]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
46,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'canada', 'come']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
47,56,Race,Indian,They should go back to India.,1,"['go', 'back', 'india']","[20, 0.8266766115286571]","['go', 'back', 'country', 'travel', 'jus', 'forwarding', 'shipping', 'books', 'changes', 'tough']","['go back india', 'go black no-go back', 'go back country']"
48,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...  he doesn't know what is pork ...,1,"['idiot', 'muslim', 'know', 'beef', 'chicken', 'world', 'ignore', 'pork']","[18, 1.0]","['eat', 'halal', 'pork', 'dog', 'muslim', 'slaughter', 'alcohol', 'non', 'free', 'eating']","['muslim eat', 'long eat pork dont drink alcohol ok', 'radicalization islamisation muslim nons muslims odd eat table non muslims eat home cooked meal']"
49,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']","[4, 0.49352634179942856]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
50,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'stall', 'owner', 'allegedly', 'deceased', 'unknown']","[4, 0.4840861896715968]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
51,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['every', 'expat', 'tourist', 'sings', 'praises', 'one', 'sour', 'grape', 'ruin', 'nice', 'things']","[7, 0.19510486904793142]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
52,64,Race,Malay,He is a Malaysian not Malay,0,"['malaysian', 'malay']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
53,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['okay', 'discuss', 'criticise', 'aspects', 'religion', 'buddhism']","[9, 0.5316966305266116]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
54,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['new', 'west', 'try', 'potray', 'reincarnation', 'jesus', 'good', 'guys', 'imaginary', 'world']","[6, 0.491282047658266]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
55,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'malaysia', 'love', 'sucking', 'cock', 'whatever', 'white', 'man', 'said', 'right', 'mentality']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
56,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
57,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lenses']","[6, 0.3888303745223155]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
58,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['malaysia', 'big', 'accident', 'pretty', 'low', 'unless', 'like', 'kampung', 'area', 'kids', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']","[2, 0.5601393972167988]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
59,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[2, 0.7222314385224421]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
60,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
61,72,Race,Chinese,Chinese are still superstitious,0,"['chinese', 'superstitious']","[4, 1.0]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
62,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['malaysia', 'welcome', 'good', 'moral', 'brilliant', 'qualified', 'malaysia', 'citizen']","[2, 0.9382107585404372]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
63,75,Religion,Islam,Islam is not good for Malaysia.,1,"['islam', 'evilness', 'malaysia']","[14, 0.7509061294209944]","['malaysia', 'buddhists', 'muslims', 'would', 'islam', 'china', 'secular', 'attack', 'indonesia', 'christianity']","['expel buddhists hindus christians malaysia none muslims', 'would love malaysia take muslims china buddhists', 'would love malaysia take muslims china buddhists']"
64,75,Religion,Islam,They are in a coconut shell or a cave.,1,"['coconut', 'shell', 'cave']","[0, 0.0]","['disgusting', 'like', 'people', 'middle', 'system', 'boycott', 'many', 'law', 'problem', 'worship']","['well idk rest never encountered problem', 'well idk rest never encountered problem', 'many generals sympathetic caring towards everyone care little napoleons ministry defence civil servants authority made policies pertaining promotion enforced unwritten regulation quota system regarding nonmalays']"
65,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
66,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[2, 1.0]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
67,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['giving', 'opinion', 'suggestion']","[3, 0.7960626536093645]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
68,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['forget', 'wants', 'meddle', 'religion', 'give', 'opinion', 'matters']","[6, 0.8417681625647712]","['religion', 'god', 'jesus', 'christians', 'people', 'christianity', 'world', 'church', 'christian', 'religious']","['christians god', 'religion', 'religion']"
69,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shaking', 'muslim', 'lady', 'hand', 'taboo']","[5, 0.6678478713764402]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
70,82,Gender,Female,Hai Yah!,1,"['hai', 'yah']","[7, 0.17868242302938125]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
71,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scolding', 'nonstop']","[3, 1.0]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
72,82,Gender,Female,Acting like a woman?,1,"['acting', 'like', 'woman']","[1, 1.0]","['men', 'women', 'woman', 'man', 'sex', 'want', 'get', 'like', 'life', 'female']","['american women literally men', 'men', 'women find men unattractive']"
73,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'anyone', 'one', 'gives', 'hinduism', 'terrible', 'reputation']","[10, 0.5351724247343045]","['hinduism', 'hindu', 'hindus', 'krik', 'early', 'demons', 'satanic', 'something', 'got', 'cult']","['hinduism evil cult', 'hindu', 'hindu']"
74,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['incite', 'hatred', 'among', 'buddhists', 'happens']","[9, 0.39402548450811986]","['buddhism', 'buddhist', 'buddhists', 'buddha', 'really', 'religion', 'hinduism', 'donated', 'monks', 'new']","['buddhism real religion', 'buddhism really religion', 'theravada buddhism supposed main buddhism buddhist hymns buddhist choirs']"
75,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslims', 'working', 'non', 'muslim', 'haram']","[5, 0.6226609443409594]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
76,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['muslims', 'work', 'muslim']","[5, 0.6745123229487054]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
77,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslims', 'greeting', 'christians', 'merry', 'christmas', 'forbidden', 'dirty', 'religion']","[5, 0.6710122370786712]","['islam', 'muslim', 'muslims', 'conflict', 'enemies', 'islamic', 'believe', 'christians', 'allah', 'religion']","['muslims work muslim', 'muslim muslim conflict', 'islam religion']"
78,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['chinese', 'next', 'parent']","[4, 0.7142307470526994]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
79,90,Race,Indian,Indian people on their way to join the “lain-lain” race category:,0,"['indian', 'people', 'way', 'join', 'lainlain', 'race', 'category']","[7, 0.6997449645212147]","['indians', 'indian', 'pajeets', 'smell', 'pajeet', 'fuck', 'india', 'like', 'especially', 'foreigner']","['like indians', 'indians', 'indians']"
80,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indians', 'short', 'exist', 'malaysia']","[2, 0.9127473869359546]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
81,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['yeah', 'normal', 'chinese', 'family', 'tight', 'money', 'wonder']","[4, 0.7099855110346736]","['chinese', 'china', 'people', 'pig', 'go', 'indians', 'rice', 'students', 'many', 'stupid']","['chinese pig', 'pig chinese', 'chinese people china different chinese people grew countries']"
82,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'malays', 'lack', 'money', 'chinese', 'stole']","[2, 0.655700227611262]","['malay', 'malays', 'malaysia', 'malaysian', 'speak', 'malaysians', 'chinese', 'country', 'pendatang', 'like']","['malays chinese', 'malaysian malay', 'malay']"
83,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'species', 'good']","[3, 0.7925873363499821]","['care', 'leave', 'one', 'house', 'empathy', 'rumours', 'well', 'away', 'done', 'mind']","['care damage perform', 'care', 'way show compassion empathy fellow man well done world needs']"
