,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
23,23,22,Race,Malay,Fuck malays man,1,['man'],"[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
24,24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'lady', 'tend', 'wear', 'hiram']","[999, 87, 1059, 1076, 131, 410, 98, 95, 593, 744]"
25,25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policy', 'mean', 'correct', 'economic', 'balance']","[791, 361, 1331, 784, 677, 1177, 148, 8, 19, 1178]"
26,26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'different', 'chinese', 'people', 'grow', 'country']","[141, 764, 24, 117, 1230, 790, 13, 129, 317, 107]"
27,27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'student', 'really', 'cut']","[123, 24, 111, 1807, 195, 110, 726, 28, 206, 280]"
28,28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hiram', 'make', 'woman', 'beautiful', 'less']","[84, 563, 73, 1079, 323, 205, 113, 1497, 912, 911]"
29,29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['people', 'act', 'holy', 'still', 'commit', 'crime']","[172, 461, 658, 24, 62, 462, 39, 979, 460, 459]"
30,30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religion', 'teach', 'devotee', 'live', 'peace', 'other']","[250, 122, 123, 195, 98, 463, 698, 969, 1470, 1419]"
31,31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['indian', 'people', 'treat', 'unfair']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
32,32,37,Gender,Male,Men need to work to get money,0,"['man', 'need', 'work', 'get', 'money']","[128, 946, 500, 70, 1335, 35, 85, 45, 844, 1362]"
33,33,38,Gender,Male,Most houses are built by men,0,"['house', 'build', 'man']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
34,34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']","[29, 935, 30, 1550, 369, 1775, 806, 418, 852, 125]"
35,35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'give', 'chance', 'gun']","[29, 935, 30, 1550, 369, 1775, 806, 418, 852, 125]"
36,36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'tula', 'tumour']","[250, 122, 123, 195, 98, 463, 698, 969, 1470, 1419]"
37,37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigner', 'know', 'tumour', 'city', 'bedbug']","[442, 154, 1629, 787, 136, 727, 2067, 1628, 660, 1296]"
38,38,45,Race,Foreigner,!,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
39,39,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']","[141, 764, 24, 117, 1230, 790, 13, 129, 317, 107]"
40,40,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'white', 'inside', 'type', 'westerner']","[1212, 84, 271, 123, 138, 14, 267, 420, 128, 269]"
41,41,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['live', 'go', 'walk', 'street', 'give', 'dirty', 'look', 'well']","[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
42,42,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indian', 'self', 'awareness', 'arrogant', 'little', 'rat']","[1285, 1120, 9, 1999, 1194, 214, 125, 215, 157, 161]"
43,43,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
44,44,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'see', 'eat', 'pork']","[544, 139, 165, 1384, 270, 500, 317, 78, 396, 280]"
45,45,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['back', 'country']","[50, 73, 190, 777, 82, 1030, 80, 590, 1707, 569]"
46,46,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['spread', 'idiocy']","[171, 495, 21, 292, 195, 1899, 93, 874, 327, 250]"
47,47,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'come']","[172, 461, 658, 24, 62, 462, 39, 979, 460, 459]"
48,48,56,Race,Indian,They should go back to India.,1,"['go', 'back']","[153, 169, 166, 78, 177, 551, 739, 129, 810, 1810]"
49,49,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...��he doesn't know what is pork ...,1,"['beef', 'world', 'know', 'pork']","[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
50,50,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
51,51,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'owner', 'allegedly', 'decease', 'unknown']","[566, 1306, 191, 206, 693, 712, 1483, 190, 1149, 707]"
52,52,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['expecttourist', 'sing', 'praise', 'sour', 'grape', 'ruin', 'nice', 'thing']","[566, 1306, 191, 206, 693, 712, 1483, 190, 1149, 707]"
53,53,64,Race,Malay,He is a Malaysian not Malay,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
54,54,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['discuss', 'criticise', 'aspect', 'religion', 'buddhist']","[321, 285, 1219, 1409, 1609, 1648, 1410, 75, 194, 975]"
55,55,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['always', 'try', 'portray', 'reincarnation', 'always', 'good', 'gun', 'imaginary', 'world']","[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
56,56,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'love', 'suck', 'cock', 'white', 'man', 'say', 'right', 'mentality']","[84, 563, 73, 1079, 323, 205, 113, 1497, 912, 911]"
57,57,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']","[123, 24, 111, 1807, 195, 110, 726, 28, 206, 280]"
58,58,67,Race,Foreigner,No.,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
59,59,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lense']","[123, 24, 111, 1807, 195, 110, 726, 28, 206, 280]"
60,60,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['big', 'accident', 'pretty', 'low', 'camping', 'area', 'kiss', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']","[278, 471, 339, 1519, 221, 219, 212, 101, 472, 218]"
61,61,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
62,62,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else'],"[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
63,63,72,Race,Chinese,Chinese are still superstitious,0,"['still', 'superstitious']","[118, 206, 953, 995, 1103, 35, 1021, 891, 1101, 333]"
64,64,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['welcome', 'ever', 'good', 'moral', 'brilliant', 'qualified', 'citizen']","[1645, 229, 1583, 19, 913, 33, 14, 45, 44, 222]"
65,65,75,Religion,Islam,Islam is not good for Malaysia.,1,"['slam', 'good', 'malaysia']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
66,66,75,Religion,Islam,They are in a coconut shell or a cave.,1,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
67,67,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']","[88, 420, 235, 232, 82, 87, 233, 234, 66, 1879]"
68,68,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']","[88, 420, 235, 232, 82, 87, 233, 234, 66, 1879]"
69,69,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['give', 'opinion', 'suggestion']","[241, 1, 237, 320, 362, 13, 133, 651, 380, 19]"
70,70,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['think', 'want', 'meddle', 'religion', 'give', 'opinion', 'matter']","[241, 1, 237, 320, 362, 13, 133, 651, 380, 19]"
71,71,78,Religion,Unknown,?,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
72,72,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shake', 'slim', 'hand', 'tabor']","[244, 120, 32, 94, 24, 293, 403, 346, 402, 401]"
73,73,82,Gender,Female,Hai Yah!,1,['ai'],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
74,74,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scold', 'nonstop']","[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
75,75,82,Gender,Female,Acting like a woman?,1,"['act', 'woman']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
76,76,82,Gender,Female,?,1,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
77,77,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'give', 'hinduism', 'terrible', 'reputation']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
78,78,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['invite', 'hatred', 'buddhist', 'happen']","[195, 859, 266, 168, 78, 1485, 879, 924, 625, 572]"
79,79,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslim', 'work', 'non', 'slim', 'arm']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
80,80,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['work', 'slim']","[244, 120, 32, 94, 24, 293, 403, 346, 402, 401]"
81,81,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslim', 'greeting', 'christian', 'merry', 'forbid', 'dirty', 'religion']","[317, 152, 417, 1332, 569, 1739, 13, 231, 902, 63]"
82,82,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['next', 'kiss']","[134, 68, 672, 215, 609, 312, 1579, 352, 90, 0]"
83,83,90,Race,Indian,Indian people on their way to join the �lain-lain� race category:,0,"['indian', 'people', 'way', 'join', 'race', 'category']","[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
84,84,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indian', 'long', 'exist', 'malaysia']","[608, 376, 164, 144, 325, 267, 483, 807, 595, 269]"
85,85,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['normal', 'chinese', 'family', 'always', 'tight', 'money', 'wonder']","[1212, 84, 271, 123, 138, 14, 267, 420, 128, 269]"
86,86,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'always', 'money', 'steal']","[128, 946, 500, 70, 1335, 35, 85, 45, 844, 1362]"
87,87,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'specie', 'good']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
88,88,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']","[13, 1251, 24, 151, 390, 23, 223, 127, 224, 27]"
89,89,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else'],"[0, 1700, 216, 12, 225, 730, 258, 71, 175, 1645]"
90,90,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysian', 'jump', 'baby', 'sufficient', 'economic', 'opportunity', 'ask', 'become', 'destabilise', 'fail', 'state']","[544, 139, 165, 1384, 270, 500, 317, 78, 396, 280]"
91,91,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['get', 'access', 'housing', 'discount', 'bump', 'unfordable', 'housing']","[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
92,92,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['also', 'get', 'access', 'business', 'maybe', 'personal', 'sure', 'loan', 'certain', 'bump', 'program']","[292, 24, 35, 78, 530, 383, 173, 935, 381, 379]"
93,93,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'school', 'feed', 'public', 'unit', 'know', 'admit', 'bump']","[1229, 302, 172, 193, 1262, 297, 525, 1125, 396, 159]"
94,94,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'articulation', 'quota', 'base', 'make', 'easy', 'bump']","[67, 267, 13, 23, 110, 407, 405, 408, 406, 993]"
95,95,98,Race,Malay,And that feeds into public uni as well.,0,"['need', 'public', 'well']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
96,96,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bump', 'basically', 'get', 'easy', 'access', 'cheap', 'tertiary', 'education']","[844, 1170, 558, 414, 0, 310, 309, 35, 240, 779]"
97,97,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['lunch', 'bullshit']","[134, 68, 672, 215, 609, 312, 1579, 352, 90, 0]"
98,98,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['pucker', 'know', 'buddhist', 'talk', 'bullshit']","[134, 68, 672, 215, 609, 312, 1579, 352, 90, 0]"
99,99,106,Race,Foreigner,Get him deported..,1,"['meet', 'deport']","[396, 527, 316, 480, 13, 24, 121, 563, 736, 82]"
100,100,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'speak', 'speak']","[317, 152, 417, 1332, 569, 1739, 13, 231, 902, 63]"
101,101,107,Race,Indian,so trashy.,1,['trash'],"[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
102,102,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'breeding', 'day']","[321, 285, 1219, 1409, 1609, 1648, 1410, 75, 194, 975]"
103,103,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['consider', 'wife', 'big', 'bonus', 'excellent', 'job']","[1232, 326, 757, 638, 16, 693, 83, 325, 195, 860]"
104,104,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']","[250, 122, 123, 195, 98, 463, 698, 969, 1470, 1419]"
105,105,110,Religion,Islam,May the Allah protect me from vices.,0,"['protect', 'vice']","[231, 19, 382, 803, 31, 35, 560, 331, 12, 250]"
106,106,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
107,107,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
108,108,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'carriage']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
109,109,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'man', 'pregnancy']","[14, 13, 318, 1252, 334, 1488, 1221, 409, 61, 168]"
110,110,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'dear']","[407, 121, 110, 80, 574, 338, 13, 513, 73, 377]"
111,111,120,Race,Foreigner,What's next?,0,['next'],"[266, 495, 240, 263, 0, 280, 5, 482, 640, 288]"
112,112,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'gerard', 'move', 'mention', 'dead', 'palestinian', 'woman', 'child', 'gain', 'threaten', 'lawsuit']","[73, 341, 1479, 935, 39, 377, 240, 1202, 84, 902]"
113,113,121,Religion,Unknown,Religious = money,0,"['religious', 'money']","[128, 946, 500, 70, 1335, 35, 85, 45, 844, 1362]"
114,114,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['unafraid', 'punishment']","[659, 250, 1634, 603, 1307, 86, 606, 335, 1573, 231]"
115,115,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decide', 'exist', 'exploit', 'other']","[407, 121, 110, 80, 574, 338, 13, 513, 73, 377]"
116,116,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'drink', 'alcohol']","[22, 687, 1195, 831, 78, 328, 30, 1815, 88, 1151]"
117,117,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['come', 'greedy', 'bastard', 'fearlessness']","[259, 39, 292, 963, 3, 78, 35, 377, 1435, 14]"
118,118,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sound', 'unionist', 'tool', 'bias', 'clearly', 'show']","[241, 1, 237, 320, 362, 13, 133, 651, 380, 19]"
119,119,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wrong', 'country']","[50, 73, 190, 777, 82, 1030, 80, 590, 1707, 569]"
120,120,128,Race,Malaysian,!,0,[],"[173, 1055, 133, 153, 532, 181, 68, 821, 1431, 13]"
121,121,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
122,122,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indian', 'lose']","[125, 76, 514, 255, 2034, 1403, 450, 215, 687, 494]"
123,123,133,Race,Malay,Silat is a joke,1,"['flat', 'joke']","[126, 371, 13, 1922, 1914, 240, 1901, 1529, 307, 1806]"
124,124,134,Race,Malay,silat looks dumb as fuck haha,1,"['look', 'dumb', 'fuck', 'hata']","[74, 6, 1700, 1015, 1016, 1014, 1060, 2141, 1438, 1284]"
125,125,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['superior', 'competition', 'wise']","[659, 250, 1634, 603, 1307, 86, 606, 335, 1573, 231]"
126,126,136,Religion,Unknown,Religion destroys pretty much everything it touches,1,"['religion', 'destroy', 'pretty', 'much', 'touch']","[259, 39, 292, 963, 3, 78, 35, 377, 1435, 14]"
127,127,137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country's own martial arts looks funny.",0,"['malaysian', 'practice', 'martial', 'art', 'say', 'martial', 'art', 'look', 'funny']","[292, 24, 35, 78, 530, 383, 173, 935, 381, 379]"
128,128,138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0,"['malaysian', 'resist', 'none', 'admit', 'racism']","[327, 384, 124, 282, 1138, 1621, 1672, 80, 952, 1620]"
129,129,139,Race,Indian,Imagine being Indian cow,1,['imagine'],"[811, 1415, 163, 723, 100, 441, 14, 13, 45, 514]"
130,130,140,Race,Malaysian,"This is fundamentally 1 of the biggest flaws of Malaysian society, which is the total ignorance of rules/laws.",0,"['fundamentally', 'big', 'flaw', 'malaysian', 'society', 'total', 'ignorance', 'ruleslaw']","[11, 832, 65, 860, 1607, 103, 110, 69, 66, 790]"
131,131,140,Race,Malaysian,"Double parking, running red lights, all kinds of bribing, and many more.",0,"['double', 'parking', 'run', 'red', 'light', 'kind', 'bring', 'many']","[129, 254, 13, 758, 466, 1306, 887, 888, 889, 853]"
132,132,140,Race,Malaysian,"And when it happens between diff ethnicity, racism comes out to play.",0,"['happen', 'ethnicity', 'racism', 'come', 'play']","[396, 527, 316, 480, 13, 24, 121, 563, 736, 82]"
133,133,141,Religion,Others,Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming.,0,"['religious', 'purpose', 'back', 'personally', 'admit', 'people', 'meet', 'way', 'warm', 'welcoming']","[244, 120, 32, 94, 24, 293, 403, 346, 402, 401]"
134,134,141,Religion,Others,"Well , idk about the rest of em , but I never encountered a problem there.",0,"['ink', 'rest', 'never', 'encounter', 'problem']","[67, 267, 13, 23, 110, 407, 405, 408, 406, 993]"
135,135,141,Religion,Others,Well it is just my personal opinion.,0,"['personal', 'opinion']","[241, 1, 237, 320, 362, 13, 133, 651, 380, 19]"
136,136,141,Religion,Others,Scroll pass if this hurts you in any form.,0,"['roll', 'hurt', 'form']","[999, 87, 1059, 1076, 131, 410, 98, 95, 593, 744]"
137,137,144,Race,Malay,Malays cannot pay rent on time.,1,"['always', 'default', 'rent', 'time']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
138,138,144,Race,Malay,Don't rent your room to them.,1,"['rent', 'room']","[844, 1170, 558, 414, 0, 310, 309, 35, 240, 779]"
139,139,145,Race,Malaysian,"As a foreigner with local relatives, I'm starting to grasp how a lot things function in Malaysia.",0,"['foreigner', 'local', 'relative', 'start', 'grasp', 'lot', 'thing', 'function', 'malaysia']","[193, 506, 1474, 553, 1052, 1053, 415, 24, 1732, 416]"
140,140,145,Race,Malaysian,"I think some customs/cultural practices/social norms are honestly holding the whole population back, which is a shame because this country is so much more capable and has such a huge potential.",0,"['think', 'customscultural', 'practicessocial', 'form', 'honestly', 'hold', 'whole', 'population', 'back', 'shame', 'country', 'much', 'capable', 'huge', 'potential']","[794, 604, 130, 660, 1673, 425, 695, 73, 50, 45]"
141,141,146,Race,Malay,"Firstly, I will start with the Malay stereotype.",0,"['firstly', 'start', 'malay', 'stereotype']","[23, 45, 1357, 830, 340, 257, 64, 142, 82, 495]"
142,142,146,Race,Malay,We are accused of being okay with cronyism and corruption.,0,"['accuse', 'okay', 'cronyism', 'corruption']","[5, 114, 16, 292, 1659, 36, 258, 1124, 35, 133]"
