,Unnamed: 0,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
18,18,17,Race,Malay,Stop letting malays to take over this country or we chinese and indians could even predict the future of malaysia being a bankrupt country.,1,"['stop', 'let', 'malay', 'take', 'country', 'chinese', 'even', 'predict', 'future', 'malasha', 'bankrupt', 'country']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
19,19,18,Race,Chinese,Chinese people loves rice,0,"['chinese', 'people', 'love', 'rice']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
20,20,19,Race,Malaysian,Malaysians are friendly towards a variety of races,0,"['malaysian', 'friendly', 'variety', 'race']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
21,21,20,Race,Malaysian,Malaysians are polite and well behaved,0,"['malaysian', 'polite', 'well', 'behave']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
22,22,21,Religion,Islam,I aporeciate the religious dedication that those guys in hijabs have.,0,"['appreciate', 'religious', 'education', 'gun', 'hijab']","['religion', 'peace', 'religious', 'faith', 'church', 'personally', 'welcoming', 'practitioner', 'devotee', 'slam']"
23,23,22,Race,Malay,Fuck malays man,1,['man'],"['man', 'moment', 'carie', 'grm', 'reject', 'desperate', 'difficult', 'estimate', 'require', 'obvious']"
24,24,23,Religion,Islam,Middle Eastern ladies tend to wear hijab,0,"['middle', 'eastern', 'lady', 'tend', 'wear', 'hiram']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
25,25,24,Race,Unknown,Ethnic preferancial policies are meant to correct economic imbalance.,0,"['ethnic', 'preferancial', 'policy', 'mean', 'correct', 'economic', 'balance']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
26,26,27,Race,Chinese,Chinese people from China are different from Chinese people that grew up in other countries,0,"['chinese', 'people', 'different', 'chinese', 'people', 'grow', 'country']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
27,27,30,Race,Foreigner,The new students from Africa are really cute.,0,"['new', 'student', 'really', 'cut']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
28,28,32,Religion,Islam,Does hijab makes a women more beautiful or less.,0,"['hiram', 'make', 'woman', 'beautiful', 'less']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
29,29,33,Religion,Islam,"Islam people act like they are very holy, but some of them still commit to crime.",1,"['people', 'act', 'holy', 'still', 'commit', 'crime']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
30,30,34,Religion,Multiple,All religions teach its devotees to live in peace with others,0,"['religion', 'teach', 'devotee', 'live', 'peace', 'other']","['religion', 'peace', 'religious', 'faith', 'church', 'personally', 'welcoming', 'practitioner', 'devotee', 'slam']"
31,31,36,Race,Multiple,other Chinese & Indian people being treated so unfair,0,"['indian', 'people', 'treat', 'unfair']","['indian', 'pajeet', 'india', 'love', 'european', 'awareness', 'bangladeshi', 'booby', 'arrogant', 'video']"
32,32,37,Gender,Male,Men need to work to get money,0,"['man', 'need', 'work', 'get', 'money']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
33,33,38,Gender,Male,Most houses are built by men,0,"['house', 'build', 'man']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
34,34,39,Gender,Multiple,Girl and guy are equal,0,"['girl', 'guy', 'equal']","['girl', 'gun', 'guy', 'lose', 'rape', 'safeguard', 'prick', 'multiple', 'fool', 'princess']"
35,35,42,Gender,Female,Girl should be given more chance than guys,0,"['girl', 'give', 'chance', 'gun']","['girl', 'gun', 'guy', 'lose', 'rape', 'safeguard', 'prick', 'multiple', 'fool', 'princess']"
36,36,45,Race,Foreigner,Why peace talk in Kuala Lumpur?!,0,"['peace', 'talk', 'tula', 'tumour']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
37,37,45,Race,Foreigner,Didn't these foreigners know Kuala Lumpur is a city of bedbugs?,0,"['foreigner', 'know', 'tumour', 'city', 'bedbug']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
38,38,45,Race,Foreigner,!,0,[],"['else', 'let', '', '', '', '', '', '', '', '']"
39,39,51,Race,Unknown,There is no concept of conflict of interest in corrupt apartheid Malaysia.,0,"['misconception', 'conflict', 'interest', 'corrupt', 'apartheid', 'malaysia']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
40,40,53,Race,Indian,"a typically ""brown on the outside, white on the inside"" type of British indian, therefore a westerner",1,"['typically', 'brown', 'white', 'inside', 'type', 'westerner']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
41,41,54,Race,Indian,Indians will live like this then go for a walk down the street and give you dirty looks like they're better than you?,1,"['live', 'go', 'walk', 'street', 'give', 'dirty', 'look', 'well']","['disgusting', 'birch', 'dirty', 'section', 'fuck', 'smell', 'sick', 'highly', 'street', 'dress']"
42,42,54,Race,Indian,"Indians have no self awareness, they're arrogant little rats",1,"['indian', 'self', 'awareness', 'arrogant', 'little', 'rat']","['indian', 'pajeet', 'india', 'love', 'european', 'awareness', 'bangladeshi', 'booby', 'arrogant', 'video']"
43,43,55,Religion,Islam,Imagine being so confidently wrong.,1,"['imagine', 'confidently', 'wrong']","['tell', 'truth', 'imagine', 'say', 'real', 'apparently', 'mal', 'be', 'confidently', 'flat']"
44,44,55,Religion,Islam,You definitely haven't seen or eaten pork before.,1,"['definitely', 'see', 'eat', 'pork']","['cow', 'pig', 'eat', 'rent', 'meat', 'pork', 'room', 'animal', 'breed', 'food']"
45,45,55,Religion,Islam,GO BACK TO YOUR COUNTRY!,1,"['back', 'country']","['country', 'land', 'history', 'culture', 'back', 'go', 'write', 'run', 'original', 'manner']"
46,46,55,Religion,Islam,DON'T SPREAD YOUR IDIOCY HERE!,1,"['spread', 'idiocy']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
47,47,56,Race,Indian,"No if you tell them to leave Canada, they'll just come here.",1,"['tell', 'leave', 'come']","['back', 'leave', 'deport', 'go', 'alone', 'away', 'stay', 'angle', 'family', 'behind']"
48,48,56,Race,Indian,They should go back to India.,1,"['go', 'back']","['back', 'leave', 'deport', 'go', 'alone', 'away', 'stay', 'angle', 'family', 'behind']"
49,49,59,Religion,Islam,This idiot muslim only know beef and chicken in this world...��he doesn't know what is pork ...,1,"['beef', 'world', 'know', 'pork']","['cow', 'pig', 'eat', 'rent', 'meat', 'pork', 'room', 'animal', 'breed', 'food']"
50,50,60,Race,Chinese,STFU and be a quiet Chinaman or go home,1,"['stfu', 'quiet', 'chinaman', 'go', 'home']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
51,51,61,Race,Chinese,"Consent of subject (Chinese stall owner, allegedly deceased) is unknown.",0,"['consent', 'subject', 'chinese', 'owner', 'allegedly', 'decease', 'unknown']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
52,52,63,Race,Foreigner,"For every expat/tourist that sings praises of us, there's one sour grape out to ruin nice things.",0,"['expecttourist', 'sing', 'praise', 'sour', 'grape', 'ruin', 'nice', 'thing']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
53,53,64,Race,Malay,He is a Malaysian not Malay,0,[],"['else', 'let', '', '', '', '', '', '', '', '']"
54,54,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['discuss', 'criticise', 'aspect', 'religion', 'buddhist']","['buddhist', 'buddha', 'worship', 'religion', 'temple', 'really', 'hinduism', 'demon', 'monk', 'statue']"
55,55,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['always', 'try', 'portray', 'reincarnation', 'always', 'good', 'gun', 'imaginary', 'world']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
56,56,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'love', 'suck', 'cock', 'white', 'man', 'say', 'right', 'mentality']","['race', 'racism', 'assimilate', 'white', 'multiracial', 'outcast', 'play', 'group', 'call', 'cowardice']"
57,57,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
58,58,67,Race,Foreigner,No.,0,[],"['else', 'let', '', '', '', '', '', '', '', '']"
59,59,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lense']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
60,60,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['big', 'accident', 'pretty', 'low', 'camping', 'area', 'kiss', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
61,61,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
62,62,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else'],"['else', 'let', '', '', '', '', '', '', '', '']"
63,63,72,Race,Chinese,Chinese are still superstitious,0,"['still', 'superstitious']","['religion', 'peace', 'religious', 'faith', 'church', 'personally', 'welcoming', 'practitioner', 'devotee', 'slam']"
64,64,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['welcome', 'ever', 'good', 'moral', 'brilliant', 'qualified', 'citizen']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
65,65,75,Religion,Islam,Islam is not good for Malaysia.,1,"['slam', 'good', 'malaysia']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
66,66,75,Religion,Islam,They are in a coconut shell or a cave.,1,[],"['else', 'let', '', '', '', '', '', '', '', '']"
67,67,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
68,68,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['well', 'race', 'stop', 'make', 'comment', 'one', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'comment', 'respect', 'faith']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
69,69,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['give', 'opinion', 'suggestion']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
70,70,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['think', 'want', 'meddle', 'religion', 'give', 'opinion', 'matter']","['religion', 'peace', 'religious', 'faith', 'church', 'personally', 'welcoming', 'practitioner', 'devotee', 'slam']"
71,71,78,Religion,Unknown,?,0,[],"['else', 'let', '', '', '', '', '', '', '', '']"
72,72,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shake', 'slim', 'hand', 'tabor']","['slim', 'conflict', 'nation', 'destroy', 'well', 'bad', 'christian', 'kill', 'non', 'hair']"
73,73,82,Gender,Female,Hai Yah!,1,['ai'],"['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
74,74,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scold', 'nonstop']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
75,75,82,Gender,Female,Acting like a woman?,1,"['act', 'woman']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
76,76,82,Gender,Female,?,1,[],"['else', 'let', '', '', '', '', '', '', '', '']"
77,77,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'give', 'hinduism', 'terrible', 'reputation']","['hindu', 'hinduism', 'belief', 'early', 'sticky', 'beat', 'murder', 'follow', 'let', 'reputation']"
78,78,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['invite', 'hatred', 'buddhist', 'happen']","['buddhist', 'buddha', 'worship', 'religion', 'temple', 'really', 'hinduism', 'demon', 'monk', 'statue']"
79,79,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslim', 'work', 'non', 'slim', 'arm']","['muslim', 'islamic', 'believe', 'logic', 'eat', 'rape', 'christian', 'majority', 'interfere', 'blatantly']"
80,80,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['work', 'slim']","['slim', 'conflict', 'nation', 'destroy', 'well', 'bad', 'christian', 'kill', 'non', 'hair']"
81,81,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslim', 'greeting', 'christian', 'merry', 'forbid', 'dirty', 'religion']","['muslim', 'islamic', 'believe', 'logic', 'eat', 'rape', 'christian', 'majority', 'interfere', 'blatantly']"
82,82,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['next', 'kiss']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
83,83,90,Race,Indian,Indian people on their way to join the �lain-lain� race category:,0,"['indian', 'people', 'way', 'join', 'race', 'category']","['indian', 'pajeet', 'india', 'love', 'european', 'awareness', 'bangladeshi', 'booby', 'arrogant', 'video']"
84,84,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indian', 'long', 'exist', 'malaysia']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
85,85,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['normal', 'chinese', 'family', 'always', 'tight', 'money', 'wonder']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
86,86,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'always', 'money', 'steal']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
87,87,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'specie', 'good']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
88,88,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'make', 'baby']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
89,89,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,['else'],"['else', 'let', '', '', '', '', '', '', '', '']"
90,90,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysian', 'jump', 'baby', 'sufficient', 'economic', 'opportunity', 'ask', 'become', 'destabilise', 'fail', 'state']","['malay', 'malaysian', 'malaysia', 'company', 'speak', 'stop', 'race', 'country', 'comment', 'cancer']"
91,91,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['get', 'access', 'housing', 'discount', 'bump', 'unfordable', 'housing']","['bump', 'access', 'housing', 'sell', 'easy', 'sure', 'feed', 'acquire', 'assumption', 'asset']"
92,92,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['also', 'get', 'access', 'business', 'maybe', 'personal', 'sure', 'loan', 'certain', 'bump', 'program']","['bump', 'access', 'housing', 'sell', 'easy', 'sure', 'feed', 'acquire', 'assumption', 'asset']"
93,93,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'school', 'feed', 'public', 'unit', 'know', 'admit', 'bump']","['bump', 'access', 'housing', 'sell', 'easy', 'sure', 'feed', 'acquire', 'assumption', 'asset']"
94,94,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'articulation', 'quota', 'base', 'make', 'easy', 'bump']","['bump', 'access', 'housing', 'sell', 'easy', 'sure', 'feed', 'acquire', 'assumption', 'asset']"
95,95,98,Race,Malay,And that feeds into public uni as well.,0,"['need', 'public', 'well']","['worker', 'british', 'foreign', 'sector', 'work', 'local', 'private', 'citizen', 'want', 'always']"
96,96,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bump', 'basically', 'get', 'easy', 'access', 'cheap', 'tertiary', 'education']","['bump', 'access', 'housing', 'sell', 'easy', 'sure', 'feed', 'acquire', 'assumption', 'asset']"
97,97,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['lunch', 'bullshit']","['cow', 'pig', 'eat', 'rent', 'meat', 'pork', 'room', 'animal', 'breed', 'food']"
98,98,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['pucker', 'know', 'buddhist', 'talk', 'bullshit']","['buddhist', 'buddha', 'worship', 'religion', 'temple', 'really', 'hinduism', 'demon', 'monk', 'statue']"
99,99,106,Race,Foreigner,Get him deported..,1,"['meet', 'deport']","['back', 'leave', 'deport', 'go', 'alone', 'away', 'stay', 'angle', 'family', 'behind']"
100,100,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'speak', 'speak']","['talk', 'call', 'conversation', 'aggressive', 'feel', 'interaction', 'bs', 'voice', 'uncomfortable', 'impression']"
101,101,107,Race,Indian,so trashy.,1,['trash'],"['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
102,102,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'breeding', 'day']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
103,103,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['consider', 'wife', 'big', 'bonus', 'excellent', 'job']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
104,104,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
105,105,110,Religion,Islam,May the Allah protect me from vices.,0,"['protect', 'vice']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
106,106,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
107,107,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
108,108,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'carriage']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
109,109,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'man', 'pregnancy']","['woman', 'man', 'sex', 'female', 'feminist', 'look', 'want', 'marry', 'love', 'rate']"
110,110,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'dear']","['chinese', 'people', 'rice', 'face', 'student', 'citizenship', 'chinaman', 'indicate', 'grant', 'always']"
111,111,120,Race,Foreigner,What's next?,0,['next'],"['next', 'missy', 'crush', 'want', 'papa', 'need', 'anymore', 'statue', 'simple', 'hard']"
112,112,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'gerard', 'move', 'mention', 'dead', 'palestinian', 'woman', 'child', 'gain', 'threaten', 'lawsuit']","['slam', 'threaten', 'child', 'nearest', 'prohibit', 'gambling', 'gerard', 'explain', 'lawsuit', 'violent']"
113,113,121,Religion,Unknown,Religious = money,0,"['religious', 'money']","['religion', 'peace', 'religious', 'faith', 'church', 'personally', 'welcoming', 'practitioner', 'devotee', 'slam']"
114,114,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['unafraid', 'punishment']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
115,115,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decide', 'exist', 'exploit', 'other']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
116,116,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'drink', 'alcohol']","['cow', 'pig', 'eat', 'rent', 'meat', 'pork', 'room', 'animal', 'breed', 'food']"
117,117,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['come', 'greedy', 'bastard', 'fearlessness']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
118,118,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sound', 'unionist', 'tool', 'bias', 'clearly', 'show']","['unionist', 'agent', 'lie', 'genocide', 'antisemitism', 'bias', 'activist', 'enable', 'hessian', 'inject']"
119,119,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wrong', 'country']","['country', 'land', 'history', 'culture', 'back', 'go', 'write', 'run', 'original', 'manner']"
120,120,128,Race,Malaysian,!,0,[],"['else', 'let', '', '', '', '', '', '', '', '']"
121,121,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
122,122,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indian', 'lose']","['indian', 'pajeet', 'india', 'love', 'european', 'awareness', 'bangladeshi', 'booby', 'arrogant', 'video']"
123,123,133,Race,Malay,Silat is a joke,1,"['flat', 'joke']","['tell', 'truth', 'imagine', 'say', 'real', 'apparently', 'mal', 'be', 'confidently', 'flat']"
124,124,134,Race,Malay,silat looks dumb as fuck haha,1,"['look', 'dumb', 'fuck', 'hata']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
125,125,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['superior', 'competition', 'wise']","['always', 'man', 'people', 'get', 'also', 'kiss', 'life', 'school', 'other', 'cult']"
