,No,Category,SubCategory,Post,HateSpeech,PreprocessedToken,Representation
53,65,Religion,Buddhism,It's okay to discuss and criticise aspects of the religion Buddhism.,0,"['okay', 'discuss', 'criticise', 'aspects', 'religion', 'buddhism']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
54,66,Race,Malaysian,"What's new about the west always try to potray themselves as the reincarnation of jesus, they are always the good guys in their imaginary world.",1,"['new', 'west', 'try', 'potray', 'reincarnation', 'jesus', 'good', 'guys', 'imaginary', 'world']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
55,66,Race,Malaysian,"And some people in Malaysia love sucking their cock 24/7, ""whatever the white man said is right"" mentality.",1,"['people', 'malaysia', 'love', 'sucking', 'cock', 'whatever', 'white', 'man', 'said', 'right', 'mentality']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
56,67,Race,Foreigner,Is all people from the west bad?,0,"['people', 'west', 'bad']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
57,67,Race,Foreigner,But all people should be judge by the same lenses.,0,"['people', 'judge', 'lenses']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
58,70,Race,Malaysian,Malaysia so big and the accident very pretty low unless like kampung area where kids purposely play dangerously otherwise is pretty safe.,0,"['malaysia', 'big', 'accident', 'pretty', 'low', 'unless', 'like', 'kampung', 'area', 'kids', 'purposely', 'play', 'dangerously', 'otherwise', 'pretty', 'safe']","[242, 637, 217, 256, 1208, 262, 17, 260, 197, 1212]"
59,71,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
60,71,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
61,72,Race,Chinese,Chinese are still superstitious,0,"['chinese', 'superstitious']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
62,73,Race,Foreigner,"Malaysia should welcome who ever who have good moral, brilliant, qualified to be a Malaysia citizen.",0,"['malaysia', 'welcome', 'good', 'moral', 'brilliant', 'qualified', 'malaysia', 'citizen']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
63,75,Religion,Islam,Islam is not good for Malaysia.,1,"['islam', 'evilness', 'malaysia']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
64,75,Religion,Islam,They are in a coconut shell or a cave.,1,"['coconut', 'shell', 'cave']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
65,76,Race,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
66,77,Religion,Multiple,ITS BETTER ALL RACES SHOULD STOP MAKING COMMENTS ON ONE ANOTHER....EVERY MALAYSIAN REGARDLESS OF RACE ..RELIGION AND STATUS SHOULD STOP COMMENTING AND RESPECT EACH OTHER'S FAITH,0,"['better', 'races', 'stop', 'making', 'comments', 'one', 'another', 'every', 'malaysian', 'regardless', 'race', 'religion', 'status', 'stop', 'commenting', 'respect', 'faith']","[176, 192, 56, 92, 98, 108, 17, 228, 1624, 278]"
67,78,Religion,Unknown,He was just giving his opinion and suggestion ...,0,"['giving', 'opinion', 'suggestion']","[248, 288, 29, 8, 87, 1155, 1548, 2005, 1875, 1754]"
68,78,Religion,Unknown,I don't think he wants to meddle with any religion ... Can't he give his opinion on matters?,0,"['forget', 'wants', 'meddle', 'religion', 'give', 'opinion', 'matters']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
69,79,Religion,Islam,Shaking a Muslim lady's hand is a taboo,0,"['shaking', 'muslim', 'lady', 'hand', 'taboo']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
70,82,Gender,Female,Hai Yah!,1,"['hai', 'yah']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
71,82,Gender,Female,Why keep scolding non-stop??,1,"['keep', 'scolding', 'nonstop']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
72,82,Gender,Female,Acting like a woman?,1,"['acting', 'like', 'woman']","[294, 221, 3, 1209, 347, 2319, 302, 1655, 1727, 445]"
73,83,Religion,Hinduism,"This guy has no moral authority to criticise anyone, he is the one that gives Hinduism a terrible reputation",0,"['guy', 'immoral', 'authority', 'criticise', 'anyone', 'one', 'gives', 'hinduism', 'terrible', 'reputation']","[307, 1565, 2064, 20, 127, 561, 234, 367, 1934, 1100]"
74,84,Religion,Buddhism,When you incite hatred among Buddhists this is what happens!,0,"['incite', 'hatred', 'among', 'buddhists', 'happens']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
75,85,Religion,Multiple,Muslims working under non Muslim is Haram.,1,"['muslims', 'working', 'non', 'muslim', 'haram']","[136, 84, 234, 1326, 854, 10, 1614, 204, 87, 317]"
76,85,Religion,Multiple,Muslims should only work under Muslim.,1,"['muslims', 'work', 'muslim']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
77,86,Religion,Christianity,"Muslims greeting Christians ""Merry Christmas"" is forbidden because it is a dirty religion.",1,"['muslims', 'greeting', 'christians', 'merry', 'christmas', 'forbidden', 'dirty', 'religion']","[318, 815, 328, 6, 630, 770, 765, 234, 17, 946]"
78,89,Race,Chinese,In about 2025 Chinese will have next to no kids..,0,"['chinese', 'next', 'parent']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
79,90,Race,Indian,Indian people on their way to join the “lain-lain” race category:,0,"['indian', 'people', 'way', 'join', 'lainlain', 'race', 'category']","[283, 327, 472, 131, 325, 29, 624, 326, 324, 143]"
80,91,Race,Indian,I am glad that Indians will no longer exist in Malaysia.,1,"['glad', 'indians', 'short', 'exist', 'malaysia']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
81,92,Race,Chinese,"Yeah we normal Chinese family always tight on money, I wonder why",0,"['yeah', 'normal', 'chinese', 'family', 'tight', 'money', 'wonder']","[431, 706, 159, 679, 204, 323, 87, 3, 2277, 2460]"
82,93,Race,Chinese,The reason why we Malays don't have any money is because the Chinese stole all of them from us.,1,"['reason', 'malays', 'lack', 'money', 'chinese', 'stole']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
83,94,Race,Malay,Time to ditch these species for good,1,"['time', 'ditch', 'species', 'good']","[340, 1169, 27, 919, 1166, 17, 28, 845, 103, 770]"
84,95,Race,Malay,Damn we're lucky Malay people like to make babies.,0,"['damn', 'lucky', 'malay', 'people', 'like', 'make', 'babies']","[28, 3, 24, 29, 33, 2225, 264, 266, 265, 938]"
85,95,Race,Malay,Or else Malaysia gonna be next Japan.,0,"['else', 'malaysia', 'next', 'japan']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
86,97,Race,Malaysian,Malaysians pumping out babies without sufficient economic opportunities for them is just asking to become a destabilised failed state,0,"['malaysians', 'pumping', 'babies', 'without', 'sufficient', 'economic', 'opportunities', 'asking', 'become', 'destabilised', 'failed', 'state']","[2069, 344, 950, 341, 1062, 29, 242, 2240, 2966, 234]"
87,98,Race,Malay,Bumi get access to housing discounts and bumi only affordable housing.,0,"['bumi', 'get', 'access', 'housing', 'discounts', 'bumi', 'affordable', 'housing']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
88,98,Race,Malay,They also get access to more business (and maybe personal but I'm not sure) loans through certain bumi only programs.,0,"['get', 'access', 'business', 'maybe', 'personal', 'unsure', 'loans', 'certain', 'bumi', 'programs']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
89,98,Race,Malay,They have top schools that feed into public unis (yes I know mrsm admits non-bumi but it's 90+% bumi).,0,"['top', 'schools', 'feed', 'public', 'unis', 'yes', 'know', 'mrsm', 'admits', 'nonbumi', 'bumi']","[704, 2411, 3, 2206, 1050, 1673, 574, 1788, 17, 29]"
90,98,Race,Malay,Pretty sure matriculation is quota based which makes it easier for bumi.,0,"['pretty', 'sure', 'matriculation', 'quota', 'based', 'makes', 'easier', 'bumi']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
91,98,Race,Malay,And that feeds into public uni as well.,0,"['feeds', 'public', 'uni', 'well']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
92,98,Race,Malay,So bumi basically get easier access to cheaper tertiary education.,0,"['bumi', 'get', 'easier', 'access', 'cheaper', 'tertiary', 'education']","[635, 1102, 1180, 3010, 2292, 378, 20, 136, 682, 3]"
93,99,Religion,Buddhism,Bunch of bullshit from you.,0,"['bunch', 'bullshit']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
94,99,Religion,Buddhism,Fucker doesn't know of Buddhism talk bullshit.,0,"['fucker', 'ignore', 'buddhism', 'talk', 'bullshit']","[1197, 230, 56, 380, 822, 2477, 588, 1064, 1016, 510]"
95,106,Race,Foreigner,Get him deported..,1,"['get', 'deported']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
96,106,Race,Foreigner,They only know how to poke poke..,1,"['know', 'poke', 'poke']","[86, 1291, 1902, 17, 885, 638, 733, 1344, 766, 314]"
97,107,Race,Indian,so trashy.,1,['trashy'],"[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
98,107,Race,Indian,and these are the majority of the Indians breeding these days,1,"['majority', 'indians', 'breeding', 'days']","[7, 204, 41, 838, 28, 291, 352, 234, 392, 146]"
99,108,Gender,Female,Tom should consider his wife a big bonus for her excellent job.,1,"['tom', 'consider', 'wife', 'big', 'bonus', 'excellent', 'job']","[452, 451, 1312, 591, 588, 28, 432, 1062, 27, 41]"
100,108,Gender,Female,It is hard to find a loyal servant this day.,1,"['hard', 'find', 'loyal', 'servant', 'day']","[146, 873, 533, 1759, 176, 192, 2938, 84, 2355, 2357]"
101,110,Religion,Islam,May the Allah protect me from vices.,0,"['may', 'allah', 'protect', 'vices']","[221, 97, 891, 401, 220, 1120, 400, 402, 901, 423]"
102,112,Gender,Multiple,Smart man + smart woman = Romance.,1,"['smart', 'man', 'smart', 'woman', 'romance']","[108, 412, 3, 811, 2282, 1045, 405, 1920, 1689, 960]"
103,112,Gender,Multiple,Smart man + dumb woman = Affair.,1,"['smart', 'man', 'dumb', 'woman', 'affair']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
104,112,Gender,Multiple,Smart woman + dumb man = Marriage.,1,"['smart', 'woman', 'dumb', 'man', 'marriage']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
105,112,Gender,Multiple,Dumb woman + Dumb man = Pregnancy.,1,"['dumb', 'woman', 'dumb', 'man', 'pregnancy']","[81, 80, 593, 108, 83, 303, 20, 940, 3, 56]"
106,117,Race,Chinese,Happy Chinese New Year,0,"['happy', 'chinese', 'new', 'year']","[1040, 127, 174, 128, 1878, 28, 894, 1270, 423, 1817]"
107,120,Race,Foreigner,What's next?,0,['next'],"[269, 140, 17, 1682, 203, 138, 1292, 597, 56, 1209]"
108,120,Race,Foreigner,"Gonna pull a Jirard move by mentioning dead Palestinian women & children to gain sympathy, and then threatening SPRM with a lawsuit?",0,"['pull', 'jirard', 'move', 'mentioning', 'dead', 'palestinian', 'women', 'children', 'gain', 'sympathy', 'threatening', 'sprm', 'lawsuit']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
109,121,Religion,Unknown,Religious = money,0,"['religious', 'money']","[2402, 147, 701, 710, 2597, 706, 856, 709, 708, 707]"
110,123,Religion,Unknown,How is this guy not afraid of the punishment from God?,0,"['guy', 'unafraid', 'punishment', 'god']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
111,123,Religion,Unknown,Or has he decided that God doesn't exist and he can exploit others?,0,"['decided', 'god', 'exist', 'exploit', 'others']","[28, 1553, 939, 845, 2159, 1835, 143, 635, 60, 204]"
112,124,Religion,Islam,As long as don't eat pork and dont drink alcohol and all will be ok.,0,"['long', 'eat', 'pork', 'dont', 'drink', 'alcohol', 'ok']","[881, 176, 148, 207, 613, 700, 652, 1081, 544, 911]"
113,125,Religion,Unknown,I can't fathom how come these greedy bastards has no fear for God,0,"['fathom', 'come', 'greedy', 'bastards', 'fearlessness', 'god']","[29, 1023, 2889, 17, 130, 3, 242, 1147, 1697, 1324]"
114,126,Race,Chinese,You sounded like a Zionist tool and your bias is clearly shown here.,1,"['sounded', 'like', 'zionist', 'tool', 'bias', 'clearly', 'shown']","[17, 56, 1713, 196, 506, 99, 204, 3, 205, 29]"
115,128,Race,Malaysian,Wtf whats wrong with our country!,0,"['wtf', 'whats', 'wrong', 'country']","[204, 29, 187, 1336, 824, 28, 0, 27, 82, 173]"
116,131,Race,Malaysian,Our rakyat very good in arm chair criticism.,0,"['rakyat', 'good', 'arm', 'chair', 'criticism']","[236, 93, 1133, 27, 1055, 1084, 860, 204, 1246, 1343]"
117,132,Race,Indian,I love to see them try to fight Indians and lose.,0,"['love', 'see', 'try', 'fight', 'indians', 'lose']","[87, 312, 2215, 242, 57, 396, 1142, 173, 25, 143]"
118,133,Race,Malay,Silat is a joke,1,"['silat', 'joke']","[16, 17, 3, 1209, 1215, 186, 722, 530, 2505, 2734]"
119,134,Race,Malay,silat looks dumb as fuck haha,1,"['silat', 'looks', 'dumb', 'fuck', 'haha']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
120,135,Race,Malay,muay thai is superior than silat as in the competition wise,0,"['muay', 'thai', 'superior', 'silat', 'competition', 'wise']","[28, 228, 600, 3, 217, 188, 758, 221, 128, 56]"
121,136,Religion,Unknown,Religion destroys pretty much everything it touches,1,"['religion', 'destroys', 'pretty', 'much', 'everything', 'touches']","[234, 51, 46, 621, 28, 462, 20, 909, 1037, 600]"
122,137,Race,Malay,"Jojo, a malaysian, who practices muay thai which is a thai martial arts, saying that silat, his country's own martial arts looks funny.",0,"['jojo', 'malaysian', 'practices', 'muay', 'thai', 'thai', 'martial', 'arts', 'saying', 'silat', 'country', 'martial', 'arts', 'looks', 'funny']","[161, 395, 1467, 95, 1144, 22, 1291, 228, 459, 467]"
123,138,Race,Malaysian,"All Malaysians are racists, but none will admit they are more racist than the other.",0,"['malaysians', 'racists', 'none', 'admit', 'racist']","[693, 423, 233, 2061, 198, 26, 2546, 473, 2347, 1028]"
124,139,Race,Indian,Imagine being Indian cow,1,"['imagine', 'indian', 'cow']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
125,140,Race,Malaysian,"This is fundamentally 1 of the biggest flaws of Malaysian society, which is the total ignorance of rules/laws.",0,"['fundamentally', 'biggest', 'flaws', 'malaysian', 'society', 'total', 'ignorance', 'rules', 'laws']","[481, 1045, 244, 1530, 2300, 110, 113, 3, 57, 56]"
126,140,Race,Malaysian,"Double parking, running red lights, all kinds of bribing, and many more.",0,"['double', 'parking', 'running', 'red', 'lights', 'kinds', 'bribing', 'many']","[487, 495, 1602, 1869, 1399, 1407, 139, 469, 146, 540]"
127,140,Race,Malaysian,"And when it happens between diff ethnicity, racism comes out to play.",0,"['happens', 'diff', 'ethnicity', 'racism', 'comes', 'play']","[1346, 204, 1082, 1772, 1514, 234, 30, 2344, 28, 1769]"
128,141,Religion,Others,Been in israel for religious purposes ( back then ) and I can personally admit that the people whom I've meet along the way are warm and welcoming.,0,"['israel', 'religious', 'purposes', 'back', 'personally', 'admit', 'people', 'meet', 'along', 'way', 'warm', 'welcoming']","[1842, 29, 499, 1306, 470, 496, 192, 498, 497, 327]"
129,141,Religion,Others,"Well , idk about the rest of em , but I never encountered a problem there.",0,"['well', 'idk', 'rest', 'never', 'encountered', 'problem']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
130,141,Religion,Others,Well it is just my personal opinion.,0,"['well', 'personal', 'opinion']","[143, 103, 504, 2207, 1242, 1712, 503, 3, 204, 502]"
131,141,Religion,Others,Scroll pass if this hurts you in any form.,0,"['scroll', 'pass', 'hurts', 'form']","[474, 1037, 121, 29, 1584, 2936, 1428, 15, 508, 355]"
132,144,Race,Malay,Malays cannot pay rent on time.,1,"['malays', 'default', 'rent', 'time']","[20, 1466, 132, 56, 17, 92, 396, 3, 176, 29]"
133,144,Race,Malay,Don't rent your room to them.,1,"['rent', 'room']","[0, 29, 358, 336, 108, 148, 146, 66, 512, 205]"
134,145,Race,Malaysian,"As a foreigner with local relatives, I'm starting to grasp how a lot things function in Malaysia.",0,"['foreigner', 'local', 'relatives', 'starting', 'grasp', 'lot', 'things', 'function', 'malaysia']","[57, 2522, 56, 17, 28, 1946, 1083, 516, 513, 2841]"
